"integration_id","source_id","chapter","target_section","current_statement","proposed_change_type","proposed_model_or_boundary","state_variables","parameters","required_data","code_impact","identifiability_risk","falsification_test","final_disposition"
"INT-CH1-001","CH1-RT-001;CH1-RT-009;CH1-RT-011","1","graphite thermodynamics/staging","One composition regular-solution term can stand for graphite staging","COMPETING_MODEL","Use multilayer gallery free energy with stacking/order coupling; keep the one-parameter model only as a labeled pedagogical reduction","gallery occupancies x_i;stacking/order state;T","intragallery interaction;intergallery couplings;gradient terms;reference energies","multi-temperature low-rate OCV;operando XRD stage fractions;direction-specific data","New thermodynamic backend and equilibrium minimizer; preserve current caller through an interface","Multiple parameter sets can fit one OCV curve; stage degeneracy and metastability remain","Reject transfer if held-out XRD stage fractions or phase boundaries are not reproduced together with OCV","ADOPT_WITH_MODIFICATION"
"INT-CH1-002","CH1-RT-006;CH1-RT-001","1","phase transformation and mosaic subsection","Rate has one unconditional effect on phase separation","CLAIM_NARROWING","Separate equilibrium landscape from reaction-limited mosaic and intraparticle dynamics; make rate effect conditional on exchange-current shape and heterogeneity","particle compositions;phase fields;reaction currents;population distribution","mobility;exchange-current function;nucleation/gradient parameters;particle distribution","operando phase fraction and voltage at at least two rates and both directions","Optional dynamic layer; no change to equilibrium-only API unless finite-rate claims are retained","Rate and heterogeneity are confounded by voltage-only data","Reject a universal rate statement if the same material switches mosaic/apparent-solid-solution behavior across protocols","PROVISIONAL_RATE_CLAIM_FULL_READ_REQUIRED"
"INT-CH1-003","CH1-RT-002;CH1-RT-012;CH1-RT-013;CH1-RT-014;CH1-RT-015","1","ICA/DVA forward formation and broadening","A fitted peak width uniquely measures one transport or microstructure parameter","MODEL_CORRECTION","Treat derivative width as an observation-model parameter generated jointly by phase kinetics, anisotropic diffusion, electrode transport, alignment, noise, and smoothing","true U(x);particle/electrode state distribution;measurement grid;filter state","kernel width only as empirical descriptor;transport and geometry parameters kept separate","rate series;replicate cells;raw unsmoothed voltage;microstructure/transport orthogonal data","Add explicit non-circular observation operator and sensitivity propagation","Severe many-to-one mapping from mechanisms to peak width","Reject microscopic width attribution when rate, alignment, noise, or smoothing perturbations reproduce the same change","ADOPT_WITH_MODIFICATION"
"INT-CH1-004","CH1-RT-004;CH1-RT-005","1","temperature and entropy subsection","Graphite entropy is stage independent or has a 3-4 mV K^-1 scale","NUMERICAL_AND_MODEL_CORRECTION","Use composition- and stage-resolved entropy coefficient; retain the approximately 0.28-0.30 mV K^-1 MCMB scale only as a material/protocol prior","x;stage/phase;T;branch","kappa(x);stage entropy;temperature reference","equilibrated multi-temperature OCV on target graphite;calorimetry where available","Pass T through all calls and interpolate kappa(x) with uncertainty","MCMB prior and atomistic Li entropy do not identify target-electrode total reaction entropy","Fail the transfer if held-out temperatures or high-lithiation data exceed stated uncertainty","ADOPT_STAGE_ENTROPY_BOUNDARY; NUMERIC_PRIOR_FULL_READ_REQUIRED"
"INT-CH1-005","CH1-RT-008;CRM-009","1","ICA/DVA methods and preprocessing","Derivative peaks are independent of acquisition and filtering choices","OBSERVATION_MODEL_CORRECTION","Record sampling, temperature, rate, alignment, non-circular filtering, derivative method, and sensitivity as part of the likelihood","raw V-Q samples;sampling grid;filter state;noise model","filter bandwidth;noise scale;alignment/capacity shift","raw repeated measurements and processing variants","Replace circular FFT smoothing; expose preprocessing provenance","Filter and model width are confounded","Require stable peak claims under prespecified resolution/filter perturbations and boundary treatment","PROVISIONAL_METHOD_FULL_READ_REQUIRED"
"INT-CH1-006","CH1-RT-003;CH1-RT-018;CRM-001;CRM-002;CRM-004;CRM-005;CRM-006","1","inverse model and identifiability","A fitted finite peak mixture is a unique physical decomposition","IDENTIFIABILITY_BOUNDARY","Use nonlinear likelihood/profile or posterior geometry and compare competing model classes; do not use epsilon separation as a certificate","all fitted parameters;latent component count;model indicator;discrepancy","priors;noise/discrepancy scale;model evidence or profiles","multiple protocols and orthogonal phase observations","Add identifiability report and model-comparison interface before physical labeling","Structural and practical non-identifiability under overlapping peaks","Fail physical attribution if profiles are unbounded, posterior correlations are near singular, or competing models predict equally well","ADOPT_MODEL_CLASS_BOUNDARY; COMMON_METHOD_FULL_READ_REQUIRED"
"INT-CH1-007","CH1-RT-010;CH1-RT-016","1","stage-voltage table and phase labels","Exact staging voltages are universal constants","RETRIEVE_FIRST","Attach graphite type, direction, temperature, rate, and structural evidence to every stage label","x;phase label;protocol;material identity","phase-voltage mapping with uncertainty","full Fujimoto and Weng texts;target operando XRD plus derivative data","Metadata/table change only after full retrieval","Voltage features shift with material and protocol","Reject universal table if labels move or coexistence changes across direction and temperature","RETRIEVE_FIRST"
"INT-LCO-001","RT-LCO-001","2","ch1_sec14_interaction.tex;ch1_sec16_phase_separation.tex","Positive Omega in a one-composition regular solution represents Li-vacancy ordering at x=0.5","MODEL_CLASS_CORRECTION","Remove the ordering identity; an x-only positive-Omega term is demixing curvature. Ordering requires eta or a symmetry-complete order-parameter vector","x;eta_1..eta_6;T","Landau/order couplings or CE-derived free energy;gradient terms for dynamics","transition temperature;superstructure intensity;phase boundaries;OCV","Replace or relabel current interaction function; add minimization over eta only after data approval","Projecting eta out can create a false x-spinodal","Require a fixed-x path with changing eta and correct ordered variants; fail if x-only model is called ordering","ADOPT_CRITICAL_CORRECTION"
"INT-LCO-002","RT-LCO-003;RT-LCO-004;RT-LCO-005;RT-LCO-007","2","ch1_sec15_entropy.tex","The O1-derived DOS amplitude and logistic g(E_F,x) with Delta x=0.05 are a microscopic LCO electronic entropy model","MECHANISM_DEMOTION","Delete the microscopic identity. Keep a localized feature only as an empirical branch-specific basis until a composition-resolved correlated-electron free energy or explicit electronic phase field is retrieved","x;T;branch;optional electronic phase fraction","empirical amplitude;center;width with covariance;no g_max/Delta x microscopic split","multi-temperature equilibrium OCV/reversible heat;composition-resolved spectroscopy or electronic free energy","Replace electronic gate API with generic localized total-feature API; actual x and T required","Center-slope data identify combinations of amplitude and width, not both microscopic parameters","Reject microscopic labeling unless an independent source predicts composition width and held-out T dependence","ADOPT_CRITICAL_CORRECTION"
"INT-LCO-003","RT-LCO-001;RT-LCO-006","2","LCO code path and tests","Evaluating only x=x_MIT and T=298.15 implements the documented composition- and temperature-dependent entropy","IMPLEMENTATION_CONSISTENCY","Pass caller x and T through every potential and derivative; use one width definition and a declared reference constant","x;T;branch;reference state","single canonical width;temperature reference","analytic test cases;multi-x and multi-T fixtures","Change function signatures/call graph and derivative tests in later implementation phase","Frozen center evaluation erases center/width meaning and can hide dead parameters","Analytic versus finite-difference derivatives and sensitivity to x_MIT,T must agree; gate-off invariance must hold","ADOPT_CRITICAL_CORRECTION"
