"normalized_identifier","duplicate_count","source_set","source_record_id","source_path","adoption_status","full_text_status","bibliographic_identity"
"10.1016/0001-6160(73)90021-7","2","SI","REJECT-LC-001","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_si_candidates.csv","REJECT","current Chapter bibliography and official DOI metadata checked; original 1973 article not retrieved or re-read","F. Larché and J. W. Cahn, A linear theory of thermochemical equilibrium of solids under stress, Acta Metallurgica 21(8), 1051-1063 (1973)."
"10.1016/0001-6160(73)90021-7","2","REVIEWS","REV-SI-X01","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_reviews_candidates.csv","REJECT","METADATA_ONLY","F. Larché and J. W. Cahn, A linear theory of thermochemical equilibrium of solids under stress, Acta Metallurgica 21, 1051-1063."
"10.1016/j.carbon.2019.06.103","2","GRAPHITE","SRC-GR-004","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_graphite_candidates.csv","CANDIDATE","ScienceDirect publisher page opened; access returned HTTP 429 and only indexed abstract/metadata were reviewed.","J. K. Mathiesen; R. E. Johnsen; A. S. Blennow; P. Norby. Understanding the structural changes in lithiated graphite through high-resolution operando powder X-ray diffraction. Carbon 153 (2019) 347-354."
"10.1016/j.carbon.2019.06.103","2","REVIEWS","REV-GR-X01","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_reviews_candidates.csv","HOLD","ABSTRACT_ONLY","J. K. Mathiesen, R. E. Johnsen, A. S. Blennow, and P. Norby, Understanding the structural changes in lithiated graphite through high-resolution operando powder X-ray diffraction, Carbon 153, 347-354."
"10.1016/j.jmps.2011.01.003","2","MAIN","MAIN-SI-002","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\MAIN_initial_literature_candidates.csv","CANDIDATE","arXiv full text located; official bibliographic metadata confirmed; full text not yet read end-to-end","A finite strain model of stress, diffusion, plastic flow, and electrochemical reactions in a lithium-ion half-cell, Journal of the Mechanics and Physics of Solids (2011)"
"10.1016/j.jmps.2011.01.003","2","SI","SI-MECH-002","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_si_candidates.csv","CANDIDATE","original repository PDF read P0-P1, P24, and P32-P34 of 41 pages","A. F. Bower, P. R. Guduru, and V. A. Sethuraman, A finite strain model of stress, diffusion, plastic flow and electrochemical reactions in a lithium-ion half-cell, Journal of the Mechanics and Physics of Solids (2011)."
"10.1016/j.jmps.2012.03.008","2","MAIN","MAIN-SI-001","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\MAIN_initial_literature_candidates.csv","CANDIDATE","official ScienceDirect abstract opened; full text not yet read","A finite deformation stress-dependent chemical potential and its applications to lithium ion batteries, Journal of the Mechanics and Physics of Solids (2012)"
"10.1016/j.jmps.2012.03.008","2","SI","SI-MECH-003","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_si_candidates.csv","HOLD","official publisher preview read; full article not obtained","Z. Cui, F. Gao, and J. Qu, A finite deformation stress-dependent chemical potential and its applications to lithium ion batteries, Journal of the Mechanics and Physics of Solids 60(7), 1280-1295 (2012)."
"10.1016/j.jpowsour.2021.230283","2","MAIN","MAIN-LCO-002","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\MAIN_initial_literature_candidates.csv","CANDIDATE","official ScienceDirect article text and abstract opened; full paper not read end-to-end","Evaluation of the entropy of reaction using modified frequency-domain method and a physics-based thermoelectrochemical model of a lithium-ion battery, Journal of Power Sources 508, 230283 (2021)"
"10.1016/j.jpowsour.2021.230283","2","LCO","LCO-MAIN-DUP-002","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_lco_candidates.csv","HOLD","DUPLICATE OF MAIN-LCO-002. Official article/abstract was opened previously; no end-to-end full-text review","Evaluation of the entropy of reaction using modified frequency-domain method and a physics-based thermoelectrochemical model of a lithium-ion battery; Journal of Power Sources 508 230283 (2021)"
"10.1021/acs.jpcc.5b11891","2","MAIN","MAIN-LCO-001","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\MAIN_initial_literature_candidates.csv","CANDIDATE","official ACS abstract opened; full text not yet read","Insight into the Vibrational and Thermodynamic Properties of Layered Lithium Transition-Metal Oxides LiMO2 (M = Co, Ni, Mn): A First-Principles Study, Journal of Physical Chemistry C (2016)"
"10.1021/acs.jpcc.5b11891","2","LCO","LCO-MAIN-DUP-001","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase004\SRC_lco_candidates.csv","HOLD","DUPLICATE OF MAIN-LCO-001. Official ACS landing page opened but browser received 403; free supporting information alone is insufficient","T. Du; B. Xu; M. Wu; G. Liu; C. Ouyang; Insight into the Vibrational and Thermodynamic Properties of Layered Lithium Transition-Metal Oxides LiMO2 (M = Co; Ni; Mn): A First-Principles Study; Journal of Physical Chemistry C 120(11) 5876-5882 (2016)"
