"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L1_v1010_v10182","L1-001","v1.0.10","v10-11 build lineage","Ch1-Ch2/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex","release baseline","Promote the graph-verified/code-doc-unified v1.0.10 package from the pre-release build lineage.","v1.0.10 was treated as the P1-P5 baseline and handed to v1.0.11.","The v1.0.10 Ch1 and Ch2 sources identify the release and the implementation mapping; the local handover enumerates the delivered code, documents, tests, and figures.","base","Pre-v1.0.10 build chain culminated in the v10-11 candidate.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex:1-1937 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch2_v1.0.10.tex:1-750 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\HANDOVER_v1.0.11.md:1-78","Phase 002 D_derivative_old_summary.md:1-96","The older v10-11 TeX is dependency provenance only; no scientific claim here was inferred from its filename."
"L1_v1010_v10182","L1-002","v1.0.10","v10-11 build lineage","code/figures","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py","core model","Remove the inconsistent use_w_eff route, preserve peak area, and verify a normal bell-shaped graphite dQ/dV output.","GRAPH_VERIFY_RESULT reports a normal bell and area conservation.","The source uses one width route for occupancy and derivative. The audit's read-only evaluation reproduced finite bell-shaped outputs and unit-area behavior for the tested equilibrium/tail cases.","correction/verification","Graph verification was reported PASS.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py:1-851 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\GRAPH_VERIFY_RESULT.md:1-69","v1.0.10 plot/sample/suite artifacts","This verifies documentary behavior for the exercised paths, not universal scientific correctness. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-003","v1.0.10","v10-11 build lineage","Ch1/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py","parameterization","Expose phenomenological width while retaining n-based thermal scaling.","P5 described the code/document content gap as zero.","The default graphite transitions contain n=1, so w is inert when n is present; the source itself records RT/F about 25.7 mV and a broad default FWHM. Ch1 calls width phenomenological but the shipped default follows n precedence.","debt/conflict","Code-doc gap 0.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py:1-851 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex:710-744 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_P5_final-check_RESULT.md:1-51","V1010_PROBLEM_REPORT and later integrity inspection","This is an artifact-level precedence conflict, not a judgment that one physical width is uniquely correct. [merge normalization: original verification_status=확정(보고 범위 과장)]"
"L1_v1010_v10182","L1-004","v1.0.10","v10-11 build lineage","Ch1/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\V1010_PROBLEM_REPORT.md","defect report","Reinspect the completed handover for structural scientific defects.","The report escalated default width/inert w to Critical and tail-default, caption, and guide issues to High.","The report does contain those severities and concrete artifact references; it conflicts with the earlier P5 zero-gap claim.","confidence-escalation","P5 reported closure.","확정","Critical","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\V1010_PROBLEM_REPORT.md:1-55 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_INSPECT_verify10.md:1-31","V1010_P5_final-check_RESULT.md:1-51","Severity is the historical report's classification."
"L1_v1010_v10182","L1-005","v1.0.10","v1.0.10 problem inspection","Ch1/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\V1010_HANDOVER_INTEGRITY_REPORT.md","adjudication/reversal","Re-test the Critical width allegation against declared semantics and parameter variation.","The integrity report reversed the Critical finding as a false positive and reframed v1.0.11 work as documentation/usability rather than physics redesign.","The code was not changed. The later verifier records n=0.1 producing four peaks and Omega independence as declared design. This closes the allegation documentarily but does not independently prove physical adequacy of the chosen default.","reversal","Critical structural width defect.","확정","Critical","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\V1010_HANDOVER_INTEGRITY_REPORT.md:1-45 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_HANDOVER_INSPECT_verify10.md:5-11 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_HANDOVER_INSPECT_verify10.md:31-39","V1010_INSPECT_verify10.md:5-10","A PASS label alone was not accepted; the historical parameter-variation evidence and unchanged final artifacts were compared. [merge normalization: original verification_status=확정(문서적 종결; 과학적 적정성 미검증)]"
"L1_v1010_v10182","L1-006","v1.0.10","v10-11 build lineage","Ch2/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch2_v1.0.10.tex","thermodynamic scope","Add reversible heat and electronic-temperature treatment while deferring a fuller T-squared model.","P4 reports the factor-of-two issue fixed and dSe frozen at T_ref; xMIT, full T-squared behavior, and real LCO parameters were deferred.","Ch2 and code implement the T_ref-frozen coefficient route. Deferred items remain outside the final v1.0.10 implementation.","expansion/debt","P4 closure with explicit deferrals.","확정","Medium","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch2_v1.0.10.tex:353-427 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_P4_code-revision_RESULT.md:1-58 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py:1-851","v1.0.13-v1.0.18.2 later thermodynamic extensions","P5's zero-gap language should not erase these explicit deferrals."
"L1_v1010_v10182","L1-007","v1.0.10","v10-11 build lineage","tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\test_regression_graphite.py","regression harness","Preserve graphite outputs across releases.","Regression was reported PASS.","The committed v1.0.10-v1.0.12 harness hardcodes the v1.0.10 module/temp golden path and defaults to golden capture when absent, so a PASS is not a self-contained proof of an unchanged candidate release.","test-gap","Regression PASS.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\test_regression_graphite.py:1-80 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\test_regression_graphite.py:1-80","v1.0.13 test_regression_graphite.py:1-85","The harness itself, not the numerical model, is the defect surface. [merge normalization: original verification_status=확정(증명력 부족)]"
"L1_v1010_v10182","L1-008","v1.0.11","v1.0.10","Ch1-Ch2/code/tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.11\graphite_ica_ch1_v1.0.11.tex","planned release/no-op artifact","Convert LCO prose to equations, improve metadata/default display, and resolve documentation usability items.","The ledger records only phase 0.1 and baseline copying.","All eight v1.0.11 text artifacts are byte-identical to their v1.0.10 counterparts despite renamed version-local filenames; no planned content or code change landed.","no-op/incomplete","v1.0.11 plan described a substantive conversion release.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-07-v1011-lco-equation-conversion-and-consistency-plan.md:1-91 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1011_EXECUTION_LEDGER.md:1-17 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.11\graphite_ica_ch1_v1.0.11.tex:1-1937 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.11\graphite_ica_ch2_v1.0.11.tex:1-750 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.11\Anode_Fit_v1.0.11.py:1-851","v1.0.10 exact counterparts","Byte identity was checked without Git. [merge normalization: original verification_status=확정(계획 미완료)]"
"L1_v1010_v10182","L1-009","v1.0.12","v1.0.11/v1.0.10 effective baseline","Ch2","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch2_v1.0.12.tex","equation correction","Correct the Bragg-Williams equilibrium-potential sign identified as High.","Fable P4 reports the High issue corrected.","Relative to v1.0.10/11, v1.0.12 reverses both the V_eq and derivative signs in the Bragg-Williams derivation at the cited equations.","correction","Fable P2-P3 High sign defect.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\FABLE_REAUDIT_P2_P3_RESULT.md:13-18 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\FABLE_REAUDIT_P4_RESULT.md:1-31 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch2_v1.0.10.tex:190-203 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch2_v1.0.12.tex:203-216","Fable v1.0.12 master plan","This confirms the textual sign change, not external scientific validation."
"L1_v1010_v10182","L1-010","v1.0.12","v1.0.11/v1.0.10 effective baseline","Ch2","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch2_v1.0.12.tex","assumption/caveat correction","Resolve the High contradiction over whether w_j is thermodynamic or phenomenological.","Fable P4 reports correction.","The final source restricts thermal width to the single-phase case and explicitly treats two-phase width as phenomenological/model choice.","scope-clarification","Fable P2-P3 High w_j status contradiction.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\FABLE_REAUDIT_P2_P3_RESULT.md:13-18 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch2_v1.0.12.tex:163-177","v1.0.12 Fable P4 result","Documentary closure is present in the final TeX."
