"source_id","track","bibliographic_identity","publication_date","doi_or_official_url","theory_type","material_regime","full_text_status","exact_locator","gap_ids","proposed_role","target_section","transfer_risk","critic_disposition","parent_disposition","confidence"
"ADD-CH1-001","CH1","T. Gao et al., Interplay of Lithium Intercalation and Plating on a Single Graphite Particle, Joule 5, 393-414 (2021).","2021-02-17 issue","https://doi.org/10.1016/j.joule.2020.12.020","single-particle phase-field competition among intercalation, phase separation, and lithium plating","HOPG single particle; geometry and protocol specific","TARGETED_BY_FRESH_CRITIC; parent metadata verification only; not page-complete READ_FULL","Fresh critic identified direct phase/plating treatment; exact governing-equation, parameter, and limitation locators require complete read","G11-CH1-03;G11-CH1-09","gate-critical competing model and date-search correction","Chapter 1 phase dynamics, plating boundary, and date methodology","HIGH: HOPG single-particle parameters and plating thresholds do not transfer to a porous graphite electrode; DOI year is not publication year","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH1-002","CH1","X. Lu et al., Multiscale dynamics of charging and plating in graphite electrodes coupling operando microscopy and phase-field modelling, Nature Communications 14, 5127 (2023).","2023-08-24","https://doi.org/10.1038/s41467-023-40574-6","multiscale phase-field model coupled to operando microscopy","graphite particles/electrodes; size, shape, orientation, surface behavior, C-rate, and particle exchange","TARGETED_BY_FRESH_CRITIC; official bibliographic metadata verified; not page-complete READ_FULL","Fresh critic identified geometry/rate/interparticle and intraparticle dynamics; exact equations and validation locators require complete read","G11-CH1-03;G11-CH1-09","gate-critical model hierarchy and heterogeneity source","Chapter 1 phase dynamics, particle exchange, width and plating validity boundaries","HIGH: morphology, electrode construction, surface condition, rates, and fitted phase-field parameters are source specific","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH1-003","CH1","J. Z. Olson, C. M. Lopez, and E. J. F. Dickinson, Differential Analysis of Galvanostatic Cycle Data from Li-Ion Batteries: Interpretative Insights and Graphical Heuristics, Chemistry of Materials 35, 1487-1513 (2023).","2023-02-13","https://doi.org/10.1021/acs.chemmater.2c01976","half-cell/full-cell differential-capacity and differential-voltage transformations; balancing and degradation interpretation","Li-ion half-cell and full-cell derivative observables including graphite/LCO examples","TARGETED_BY_FRESH_CRITIC; official bibliographic metadata verified; not page-complete READ_FULL","Fresh critic identified derivative transformations and graphite/LCO balancing/degradation use; exact equations and conventions require complete read","G11-CH1-04;G11-COMMON-02","gate-critical observation-operator and derivative-map source","Chapter 1 ICA/DVA forward map and common observation/preprocessing model","HIGH: graphical heuristics and chemistry examples are not an identifiability proof; sign, axis, capacity basis, and electrode/full-cell conventions must be re-derived","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH1-004","CH1","A. S. Mijailovic et al., Interplay of intercalation dynamics and lithium plating in monolithic and architectured graphite anodes during fast charging, Energy & Environmental Science 17, 8702-8721 (2024).","2024","https://doi.org/10.1039/D4EE02211D","porous-electrode transport and plating in monolithic versus architectured graphite","realistic graphite electrodes under fast charge; architecture specific","ABSTRACT_ONLY_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Official record and critic identify transport/plating architecture relevance; equations, protocol, and validation require complete read","G11-CH1-03;G11-CH1-09","secondary transport and plating validation source","Chapter 1 porous-electrode transport and fast-charge validity boundary","HIGH: architecture and fast-charge parameters do not transfer to low-rate ICA or another electrode design","RETRIEVE","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","MEDIUM-HIGH"
"ADD-CH3-001","CH3","X. Lu et al., Unravelling electro-chemo-mechanical processes in graphite/silicon composites for designing nanoporous and microstructured battery electrodes, Nature Nanotechnology 20, 1656-1666 (2025).","2025-10-24","https://doi.org/10.1038/s41565-025-02027-7","multimodal electro-chemo-mechanical observation and simulation of contact, porosity, and current redistribution","graphite/silicon composite electrodes with nanoporous and microstructured designs","TARGETED_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Fresh critic identified direct contact, porosity, current-redistribution, and differential-capacity evidence; exact model and numerical locators require complete read","G11-CH3-02;G11-CH3-04","gate-critical mechanism and observable source; corrects broad absence claim","Chapter 3 finite-rate host partition, contact/porosity, degradation, and observation model","HIGH: contact/current/porosity magnitudes are formulation, geometry, and protocol specific; multimodal agreement does not provide a universal reduced law","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH3-002","CH3","S. B. Olou'ou Guifo, J. E. Mueller, D. Henriques, and T. Markus, First-principles calculations of bulk, surface and interfacial phases and properties of silicon graphite composites as anode materials for lithium ion batteries, Physical Chemistry Chemical Physics 24, 9432-9448 (2022).","2022","https://doi.org/10.1039/D1CP05414G","first-principles bulk, surface, and Si/graphite interface thermodynamics","silicon and graphite surfaces/interfaces; atomistic equilibrium regime","ABSTRACT_ONLY_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Official abstract-level evidence for lithiation ordering and interface stabilization; complete equations and configurations not read","G11-CH3-02","interaction/interface boundary source; narrows but does not fill continuum G_int gap","Chapter 3 separability, interface effects, and Si-C/graphite material identity","HIGH: atomistic interface energies do not directly yield a continuum nonseparable bulk free energy, porous-electrode law, or kinetic parameter","RETRIEVE","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH3-003","CH3","J. Qu et al., Identifying Hidden Li-Si-O Phases for Lithium-Ion Batteries via First-Principle Thermodynamic Calculations, Energy & Environmental Materials 5, 865-871 (2022).","2022-04-22","https://doi.org/10.1002/eem2.12329","crystal-structure prediction and first-principles Li-Si-O phase thermodynamics","Li-Si-O phases; bulk equilibrium calculations","TARGETED_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Fresh critic identified phase-resolved Li-Si-O landscape; electrode conversion/inventory closure not supplied","G11-CH3-04","phase-resolved SiOx theory boundary; corrects broad absence claim","Chapter 3 SiOx phase inventory and material adapter","HIGH: bulk phase stability does not close first-cycle lithium inventory, conversion kinetics, trapped Li, contact, or full-electrode voltage","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH3-004","CH3","G. K. Mertin et al., Interpreting the entropy of silicon-graphite blended electrodes, Journal of Energy Storage 64, 107118 (2023).","2023-08","https://doi.org/10.1016/j.est.2023.107118","blend entropy interpretation, hysteresis, equal-potential and internal-balancing-current boundary","silicon-graphite blended electrodes; entropic potential and path dependence","TARGETED_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Fresh critic identified entropy hysteresis and internal balancing-current relevance; exact equations and protocols require complete read","G11-CH3-02;G11-COMMON-01","gate-critical entropy/current-partition and observable boundary","Chapter 3 equilibrium versus relaxation, entropy, and host-current interpretation","HIGH: measured blend dU/dT is not a unique equilibrium component entropy; material, branch, rest time, and current history matter","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH3-005","CH3","R. V. Feser et al., Influence of state of charge, C-rate, and silicon content on the relaxation of Si/C-graphite anodes - An operando dilatometry study, Journal of Power Sources 678, 240046 (2026).","2026-06-30 issue","https://doi.org/10.1016/j.jpowsour.2026.240046","operando dilatometry of multiple relaxation and internal-transfer mechanisms","Si/C-graphite anodes across state of charge, C-rate, and silicon content","TARGETED_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Fresh critic reports delayed graphite-to-Si transfer and plated-Li reintercalation among relaxation mechanisms; exact rates and states require complete read","G11-CH3-02;G11-CH3-04","gate-critical finite-rate/rest/path-history boundary","Chapter 3 host-current partition, relaxation, plating, and observation model","HIGH: relaxation rates and fractions are electrode, protocol, and material specific; dilatometry is not host-state proof by itself","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"ADD-CH3-006","CH3","G. Kim, J. Park, K.-G. Kim, and S. Y. Kim, Unveiling stress dynamics in silicon-graphite composite electrodes through differential analysis, Journal of Power Sources 663, 238896 (2026).","2026-01","https://doi.org/10.1016/j.jpowsour.2025.238896","differential stress/capacity analysis and formulation-sensitive mechanics","silicon-graphite composite electrodes; pore filling, graphite anisotropy, binder-network stiffness, and aging","TARGETED_BY_FRESH_CRITIC; official metadata verified; not page-complete READ_FULL","Fresh critic identified stress/capacity validation relevance; exact model, geometry, and data locators require complete read","G11-CH3-03;G11-CH3-04","secondary mechanics/observation validation source","Chapter 3 stress geometry, composite mechanics, and degradation observables","HIGH: stress magnitudes and differential signatures are fixture, formulation, and history specific and cannot calibrate a universal stress-potential term","DIRECT_FULL_READ_REQUIRED","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","MEDIUM-HIGH"
