"path","sha256","duplicate_group_size","initial_disposition","exact_duplicate_paths","exact_required_counterparts","has_required_counterpart"
"Claude/docs/v1.0.22/_sections/ch2_sec01_partition.tex","0190a6f3dc8c7ac36e3f86f17e2289307619465e5daa32eb88a961a0344bd47f","2","REQUIRED_FULL_REVIEW","Claude/docs/v1.0.23/_sections/ch2_sec01_partition.tex","Claude/docs/v1.0.23/_sections/ch2_sec01_partition.tex","True"
"Claude/docs/v1.0.23/_sections/ch2_sec01_partition.tex","0190a6f3dc8c7ac36e3f86f17e2289307619465e5daa32eb88a961a0344bd47f","2","REQUIRED_FULL_REVIEW","Claude/docs/v1.0.22/_sections/ch2_sec01_partition.tex","Claude/docs/v1.0.22/_sections/ch2_sec01_partition.tex","True"
"Claude/docs/v1.0.22/_sections/ch2v22_bib.tex","01b51db2009adcff8b0440d2129e25cb4a7bc5555bb54a85314b6170653a0e40","2","REQUIRED_FULL_REVIEW","Claude/docs/v1.0.23/_sections/ch2v22_bib.tex","Claude/docs/v1.0.23/_sections/ch2v22_bib.tex","True"
"Claude/docs/v1.0.23/_sections/ch2v22_bib.tex","01b51db2009adcff8b0440d2129e25cb4a7bc5555bb54a85314b6170653a0e40","2","REQUIRED_FULL_REVIEW","Claude/docs/v1.0.22/_sections/ch2v22_bib.tex","Claude/docs/v1.0.22/_sections/ch2v22_bib.tex","True"
"Claude/docs/v1.0.16/figs/graph_suite_v1016.png","0367724d90a210c912881acb52e0bb1a5c016ecbc8a4ae55f3b2fc7ab1298167","6","REQUIRED_VISUAL_OR_MACHINE","Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","True"
"Claude/docs/v1.0.17/figs/graph_suite_v1016.png","0367724d90a210c912881acb52e0bb1a5c016ecbc8a4ae55f3b2fc7ab1298167","6","REQUIRED_VISUAL_OR_MACHINE","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","True"
"Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png","0367724d90a210c912881acb52e0bb1a5c016ecbc8a4ae55f3b2fc7ab1298167","6","REQUIRED_VISUAL_OR_MACHINE","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","True"
"Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png","0367724d90a210c912881acb52e0bb1a5c016ecbc8a4ae55f3b2fc7ab1298167","6","REQUIRED_VISUAL_OR_MACHINE","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","True"
"Claude/docs/v1.0.19/figs/graph_suite_v1016.png","0367724d90a210c912881acb52e0bb1a5c016ecbc8a4ae55f3b2fc7ab1298167","6","REQUIRED_VISUAL_OR_MACHINE","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.20/figs/graph_suite_v1016.png","True"
"Claude/docs/v1.0.20/figs/graph_suite_v1016.png","0367724d90a210c912881acb52e0bb1a5c016ecbc8a4ae55f3b2fc7ab1298167","6","REQUIRED_VISUAL_OR_MACHINE","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png","Claude/docs/v1.0.16/figs/graph_suite_v1016.png | Claude/docs/v1.0.17/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.1/figs/graph_suite_v1016.png | Claude/docs/v1.0.18.2/figs/graph_suite_v1016.png | Claude/docs/v1.0.19/figs/graph_suite_v1016.png","True"
