challenge_id,target_record_or_claim,source_location,first_pass_claim,challenge_result,evidence,status,severity_change,required_adjudication,confidence
"F1-001","L1-002","SNAPSHOT\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py:1-851 | SNAPSHOT\Claude\results\process\GRAPH_VERIFY_RESULT.md:1-69","The corrected v1.0.10 path gives a finite bell and preserves area on the exercised paths.","Direct source and read-only evaluation did not falsify the bounded behavioral claim.","One width route feeds occupancy and derivative; exercised equilibrium and tail cases were finite and unit-area. This is not universal scientific validation.","UPHELD","SAME","Keep the claim explicitly bounded to the exercised implementation paths.","High"
"F1-002","L1-003","SNAPSHOT\Claude\docs\v1.0.10\Anode_Fit_v1.0.10.py:1-851 | SNAPSHOT\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex:710-744","The v1.0.10 zero code-document gap claim is contradicted by n precedence over w.","The artifact-level precedence conflict survives falsification.","Default transitions contain n=1, making a supplied w inert when n is present; the document simultaneously describes phenomenological width.","UPHELD","SAME","Retain as a code-document semantics conflict, not as proof that one physical width choice is uniquely correct.","High"
"F1-003","L1-004; L1-005","SNAPSHOT\Claude\docs\v1.0.10\V1010_PROBLEM_REPORT.md:1-55 | SNAPSHOT\Claude\docs\v1.0.10\V1010_HANDOVER_INTEGRITY_REPORT.md:1-45 | SNAPSHOT\Claude\results\process\V1010_HANDOVER_INSPECT_verify10.md:1-42","A Critical width allegation was raised and then documentarily reversed as a false positive.","The historical escalation/reversal is real, but it is not an open Critical lineage defect.","The correction banner retracts R1; the later parameter-variation record reports four peaks at n=0.1 without a code change.","DOWNGRADED","Critical->Medium","Record the event as confidence-history and semantics debt; do not propagate Critical as an endpoint defect.","High"
"F1-004","L5-018","SNAPSHOT\Claude\results\process\V1010_INSPECT_verify10.md:1-31 | SNAPSHOT\Claude\docs\v1.0.10\V1010_HANDOVER_INTEGRITY_REPORT.md:1-45","The original union Critical item cannot be treated as a confirmed structural defect after its explicit retraction.","The retraction is directly supported; only the existence of the historical false escalation remains lineage-relevant.","The final integrity record calls the structural reading a false positive and leaves the implementation unchanged.","DOWNGRADED","High->Info","Retain as a retracted-claim marker only.","High"
"F1-005","L1-007; L1-012; L1-017; L5-021","SNAPSHOT\Claude\docs\v1.0.10\test_regression_graphite.py:1-80 | SNAPSHOT\Claude\docs\v1.0.12\test_regression_graphite.py:1-80 | SNAPSHOT\Claude\docs\v1.0.13\test_regression_graphite.py:1-85 | SNAPSHOT\Claude\results\process\V1012_P43_verify10.md:1-241","The v1.0.10-v1.0.12 PASS harness did not independently test the candidate release; v1.0.13 repaired targeting and capture semantics.","The test-meaning conclusion is upheld.","The old harness hardcodes v1.0.10 and defaults to capture; v1.0.13 adds candidate selection, verify mode, and invalid-mode failure.","UPHELD","SAME","Do not infer candidate-release parity from the old PASS reports; accept only the later harness repair as provenance.","High"
"F1-006","L1-008; L5-002","SNAPSHOT\Claude\plans\2026-07-07-v1011-lco-equation-conversion-and-consistency-plan.md:1-91 | SNAPSHOT\Claude\results\process\V1011_EXECUTION_LEDGER.md:1-17 | SNAPSHOT\Claude\docs\v1.0.11\Anode_Fit_v1.0.11.py:1-851","v1.0.11 did not land the planned scientific conversion and was an incomplete transition.","No material text/code implementation change was found.","The ledger stops after baseline work; eight common text artifacts are byte-identical to v1.0.10 and both PDFs are text-identical after extraction.","UPHELD","SAME","Describe v1.0.11 as an incomplete documentary branch, not a completed successor science release.","High"
"F1-007","Major claim: v1.0.11 is a package-level no-op relative to v1.0.10","SNAPSHOT\Claude\docs\v1.0.10:full artifact inventory | SNAPSHOT\Claude\docs\v1.0.11:full artifact inventory","v1.0.11 is effectively a no-op package relative to v1.0.10.","The scientific text/code no-op is true, but literal package identity is false and the first pass omitted dropped assets.","Eight logical paths disappear: two PNG naming families, P4/P5 figures, graph_suite_p5.py, HANDOVER_v1.0.11.md, V1010_HANDOVER_INTEGRITY_REPORT.md, and V1010_PROBLEM_REPORT.md; no logical paths are added.","UPGRADED","Info->Medium","Amend the report to say scientific-text/code no-op with incomplete package/process-asset retention.","High"
"F1-008","L1-009","SNAPSHOT\Claude\docs\v1.0.10\graphite_ica_ch2_v1.0.10.tex:190-203 | SNAPSHOT\Claude\docs\v1.0.12\graphite_ica_ch2_v1.0.12.tex:203-216","v1.0.12 corrected the Bragg-Williams sign defect in final source.","The version-boundary correction is present.","Both the equilibrium-potential and derivative signs change at the cited equations.","UPHELD","SAME","Keep this as textual/formula lineage closure; external thermodynamic validation remains outside Step 35.","High"
"F1-009","L1-010","SNAPSHOT\Claude\docs\v1.0.12\graphite_ica_ch2_v1.0.12.tex:163-177","v1.0.12 resolved the thermodynamic-versus-phenomenological width contradiction by scoping the statements.","The final caveat is present and narrows the claim.","Thermal width is restricted to the single-phase case; two-phase width is stated as phenomenological/model choice.","UPHELD","SAME","No lineage adjudication beyond preserving the scope caveat.","High"
"F1-010","L1-053; L5-020","SNAPSHOT\Claude\docs\v1.0.12\FITTING_GUIDE.md:5-32 | SNAPSHOT\Claude\results\process\FABLE_REAUDIT_P4_RESULT.md:16-20","v1.0.12 corrected MSMR pairing, direction prose, and conditional LCO Omega status without executable behavior change.","The final wording and conditional status are present.","The guide states delithiation=+1, f=+sigma_d, and unassigned conditional LCO Omega/dH_a; later v1.0.13 changes the high-level API mapping separately.","UPHELD","SAME","Preserve the distinction between documentary correction in v1.0.12 and API correction in v1.0.13.","High"
