"relative_path","bytes","sha256"
"plans\2026-07-20-recent-five-year-theory-literature-review-ch1-ch3-plan.md","15991","68ACE871274BB25C9AEC1AFB90D26E31381A45818DDA736B61D898563F5453CD"
"results\PHASE_011_014_RECENT_THEORY_EXECUTION_LEDGER.md","1891","CEFC92E836A8CD6ED8D20C4B7CBB8F68649B8BABC120B85EEC178D7984C113EE"
"results\PHASE_011_THEORY_GAP_BASELINE_RESULT.md","3279","09E7114A55B62C6FBC91523CECFB91C19FA31DC43BEFD731A3E474880C2F27AA"
"results\phase011_theory_gap_search_matrix.csv","15932","7C4D3ECC4BA80866C1472AD21F878842C0267D8A35830AE98DC5ACCAD5CE0427"
"results\PHASE_012_RECENT_SOURCE_COVERAGE_RESULT.md","6939","2F61E50EA9C6CD569491BC2E7F1EAB068ADC4C58909A1C5C41A49F93775AE6F2"
"results\phase012_recent_theory_candidate_matrix.csv","79731","83C668CC9E36F199B761125F71DF1F87ACB6AA7E407C467846AC8F2D04BE1C38"
"results\PHASE_013_THEORY_TRANSFER_ADJUDICATION_RESULT.md","5841","D9FF2FFA986D651A12CF41C324F7CD8BC172ACDB455F23FED5FDE9B66345940D"
"results\phase013_theory_integration_adjudication.csv","25302","C422C11401B2566E535B41A5C1AD0111B833F22ADC17F555D63F79456AE7D864"
"results\phase014_recent_theory_candidate_addendum.csv","15656","466F33F279B8451EE633E52C48DE260716134BC97D2CE4107840586E897F5E4D"
"results\phase014_theory_integration_addendum.csv","9019","C8FE3E5C6ADD99D8C84A6327B90A6DFDF829914B344450A3DA22F85F39E7FE16"
"results\PHASE_014_RECENT_FIVE_YEAR_THEORY_LITERATURE_REVIEW_RESULT.md","30791","099E14840A8FB23A659497B5D553C506FF5803D3E2D011963F337B0090DAE211"
"results\PHASE_014_RECENT_THEORY_REVIEW_HANDOVER.md","12192","EE479F6EA94D999EAECE02E298582A810E3A028BB344DF9ABB15F09AF24E3F98"
"work\agent_reports\phase012\ch1_recent_theory_report.md","26613","43179FCF16D0E33EF9E9599B3D92EDB02CD9521B94AE1DD59636DAA2793FBDF2"
"work\agent_reports\phase012\lco_recent_theory_report.md","52029","C01BC97096AB4DE2F0FDAF1DA8F8BD87A4DD9515C557698674F680E5AE65ED91"
"work\agent_reports\phase012\ch3_recent_theory_report.md","30582","6276DF4BDDE031C4238ACE481B6F30671FD8B75F6151BD349F714D012F26DD6D"
"work\agent_reports\phase012\common_recent_methods_report.md","20250","78DF7529390E4D63B0A5FC12C78C24E8679BC7BA4340F5874C0F02091AD85125"
"work\agent_reports\phase014\critic_lco_sol.md","34562","1F8A80159241951EC2C7EFAFFBE821ADF85B095B916A031FAE191C3D5B748BA8"
"work\agent_reports\phase014\critic_crosschapter_sol.md","48068","92E8B1BF7EA4EA7C07AA564F6CD222D1D60750F412A5FDFDCA250CDE6BE65F97"
"work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py","97860","0298BB5FDF47ED5FAF2F8301B6D84DC88FD580A69C8E616DAA3942D35CEAE7CF"
"work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\test_gates_v1023.py","33361","78205FED4F6ED9FF731E11EDDF14F1E871EF15759CB75344F098B8D014173832"
