registry_id,scope,symbol_or_term,canonical_definition,declared_unit,source_file,source_line,status,audit_note
REG-001,Ch1,sigma_d,"direction slot: delithiation +1; lithiation -1; Chapter 1 cell labels map discharge to +1",dimensionless,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,14-34,BASELINE,"Chapter 2 cell labels require electrode-aware remapping"
REG-002,Ch1,s,"fixed derivation sign used as +1; not a direction variable",dimensionless,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,34-35;49,BASELINE,"Visually and semantically close to sigma_d"
REG-003,Ch1,absolute current,"I_abs = c_rate * Q_cell unless explicitly supplied",A,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,10-20,CONFLICT,"c_rate is declared in 1/h while the Eyring attempt frequency uses seconds"
REG-004,Ch1,c_rate,"physical current rate",1/h,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,10-20,CONFLICT,"Anode_Fit_v1.0.23.py curve() passes the numeric value as if it were 1/s; missing /3600"
REG-005,Ch1,Q_cell,"cell charge/capacity; supports q=Q/Q_cell and current conversion",C or Ah,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,50-51,CONFLICT,"C and Ah representations are not invariant in the kinetic lag path"
REG-006,Ch1,q,"normalized passed-capacity coordinate Q/Q_cell",dimensionless,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,51,AMBIGUOUS,"q is also used as an internal partition function in Part 0"
REG-007,Ch1,Q_j,"capacity carried by transition j",C or Q_cell,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,63;Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex,34-40,AMBIGUOUS,"Master notation says C; parameter table and default code values are fractions of Q_cell"
REG-008,Ch1,C_bg,"background differential capacity",C/V or Q_cell/V,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,64;Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex,114,AMBIGUOUS,"Default examples are normalized but the API does not state an output-capacity unit contract"
REG-009,Ch1,V_app,"measured/applied half-cell potential",V,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,55,BASELINE,"Reference is Li/Li+ for the negative-electrode chapter"
REG-010,Ch1,V_n,"internal potential V_app - sigma_d*I_abs*R_n",V,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,56;170-183,BASELINE,"Constant lumped resistance is a declared approximation"
REG-011,Ch1,T,"pointwise temperature; scalar or array aligned to voltage",K,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,52,BASELINE,"Different from representative temperature used by selected branch/lag terms"
REG-012,Ch1,T_rep,"global mean temperature over the full input interval",K,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,53,APPROXIMATION,"Requires an error/domain statement for nonisothermal data"
REG-013,Ch1,U_j,"stress-free/equilibrium transition center (-DeltaH_rxn + T*DeltaS_rxn)/F",V,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,58,BASELINE,"Insertion-reaction sign convention must remain fixed"
REG-014,Ch1,w_j,"transition width n_j*R*T/F unless a constant-w code path is selected",V,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,60-61,BASELINE,"Thermal and phenomenological interpretations must be separated"
REG-015,Ch1,xi_eq_j,"equilibrium delithiation progress fraction",dimensionless,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,25-31;62,BASELINE,"theta_j = 1 - xi_j"
REG-016,Ch1,theta_j,"occupied/lithiated fraction 1 - xi_j",dimensionless,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,25-26,AMBIGUOUS,"theta is also used for Einstein temperature in the thermal sections"
REG-017,Ch1,Omega_j,"regular-solution interaction energy",J/mol,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,66,BASELINE,"Default transition values are fitting starts rather than literature-calibrated free energies"
REG-018,Ch1,L_q_j,"capacity-coordinate kinetic lag length",dimensionless,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,80,CONFLICT,"Numerical value depends on whether Q_cell is entered in Ah or C"
REG-019,Ch1,L_V_j,"voltage-coordinate lag length |dV/dq|*L_q",V,Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex,81-82,CONFLICT,"Inherits the c_rate / time-unit defect"
REG-020,Ch1-2,x_bar,"total-capacity-normalized delithiation fraction used in the implicit charge-balance inversion",dimensionless,Claude/docs/v1.0.23/_sections/ch2v22_notation.tex,9-10,BASELINE,"Must not be silently identified with a material stoichiometric x"
REG-021,Ch2,Chapter-2 direction map,"LCO delithiation occupies sigma_d=+1 but corresponds to cell charge",dimensionless,Claude/docs/v1.0.23/_sections/ch2v22_notation.tex,9-12,BASELINE,"High-level curve() remaps labels; low-level dqdv(s=...) does not"
REG-022,Ch2,DeltaS_config/vib/e,"configurational; vibrational; and electronic entropy slots",J/(mol K),Claude/docs/v1.0.23/_sections/ch2v22_notation.tex,12-14,MODEL_DECOMPOSITION,"Evidence and identifiability of each fitted slot must be audited separately"
REG-023,Ch2,dU_oc/dT,"partial derivative at fixed composition/capacity state",V/K,Claude/docs/v1.0.23/_sections/ch2_sec07_revheat.tex,14-19,BASELINE,"Reference-electrode and full-cell sign conventions remain essential"
REG-024,Ch2,q_rev,"-I*T*(dU_oc/dT) with I>0 in the Bernardi cell-discharge convention",W,Claude/docs/v1.0.23/_sections/ch2_sec07_revheat.tex,15-25,BASELINE,"This discharge label is opposite to Chapter-1 graphite half-cell discharge chemistry"
REG-025,Ch3,host,"independent graphite or Si storage host evaluated at a shared electrode potential",category,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,24-27,MODEL_ASSUMPTION,"Finite-rate current partition and nonadditivity are outside the implemented closure"
REG-026,Ch3,Q_gr/Q_Si/Q,"host capacities and total Q=Q_gr+Q_Si",Q_cell or capacity unit,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,28,CONFLICT,"from_wt() holds Q_gr fixed instead of scaling it by 1-m_Si on a fixed-total-mass basis"
REG-027,Ch3,f_Si,"Si capacity fraction Q_Si/Q",dimensionless,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,29,BASELINE,"The algebraic conversion from mass fraction is correct"
REG-028,Ch3,m_Si,"Si mass fraction of the stated blend",dimensionless,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,30,CONFLICT,"Code and figure use a fixed-graphite-add-Si basis while labelling the result as fixed-total blend wt%"
REG-029,Ch3,q_Si/q_gr,"component specific reversible capacities used to map mass fraction to capacity fraction",mAh/g,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,30,QUALIFICATION,"Values are source- and cycle-state-specific; Si-C 3117 mAh/g is normalized per silicon in the cited experiment"
REG-030,Ch3,C_bg,"one electrode-level background term; not one per host",Q_cell/V or capacity/V,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,31,BASELINE,"The code adds it through the graphite host once"
REG-031,Ch3,sigma_h,"mean stress tr(sigma)/3",Pa,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,34,BASELINE,"Distinct from the measured equi-biaxial thin-film stress sigma_f"
REG-032,Ch3,vbar_Li,"Li partial molar volume coupled to mean stress",m^3/mol,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,33,APPROXIMATION,"May depend on composition and finite-deformation choice"
REG-033,Ch3,Lambda_sigma,"partial V / partial sigma_h = vbar_Li/F in the retained linear hydrostatic term",V/Pa,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,35,CONFLICT,"The cited 100-120 mV/GPa measurement is with respect to biaxial film stress; direct equality is invalid"
REG-034,Ch3,DeltaV_mech,"Lambda_sigma times the branch difference in mean stress",V,Claude/docs/v1.0.23/_sections/ch3v22_notation.tex,36,INCOMPLETE,"A path-dependent elastoplastic or particle-SEI constitutive law is intentionally absent"
