trace_id,chapter,equation_label,document_location,code_symbol,code_location,inputs,outputs,units,signs,class,numeric_test,status,notes
"T009-001","1","eq:n0map","_sections/ch1_sec01_n0n1.tex:17","GraphiteAnodeDischargeDQDV.curve","Anode_Fit_v1.0.23.py:675-705","c_rate,Q_cell,direction","I_abs,sigma_d","c_rate 1/h; Q_cell charge; I_abs charge/time","discharge maps sigma_d=+1","naming-mismatch","ch1_time_unit_invariance_probe.csv:1-3; independent 3600-ratio rerun","확정","The direction map is exact, but the public 1/h C-rate enters the seconds-based Eyring chain without 1/3600."
"T009-002","1","eq:vapppol;eq:vnmid;eq:vn","_sections/ch1_sec01_n0n1.tex:172-184","GraphiteAnodeDischargeDQDV.dqdv","Anode_Fit_v1.0.23.py:548-672","V_app,I_abs,Rn,sigma_d","V_n","V,A,ohm","V_n=V_app-sigma_d*I_abs*Rn","exact","test_gates_v1023.py G1/G2; source inspection","확정","The scalar polarization correction is implemented directly before transition evaluation."
"T009-003","1","eq:Uj","_sections/ch1_sec03_center.tex:56","func_U_j","Anode_Fit_v1.0.23.py:95-96","T,dH_rxn,dS_rxn","U_j","K,J/mol,J/(mol K),V","U_j=(-dH_rxn+T*dS_rxn)/F","exact","entropy roundtrip; source inspection","확정","Direct algebraic implementation."
"T009-004","1","eq:wbase","_sections/ch1_sec05_width.tex:269","func_w;GraphiteAnodeDischargeDQDV._n_factor;GraphiteAnodeDischargeDQDV._width","Anode_Fit_v1.0.23.py:91-92;360-389","T,n or w,n_T1","w","K,dimensionless,V","w>0 for T,n>0","exact","test_gates_v1023.py n(T) gate; source inspection","확정","n(T) is an additive extension; a supplied w is deliberately temperature-frozen."
"T009-005","1","eq:xieq","_sections/ch1_sec05_width.tex:284","func_ksi_eq","Anode_Fit_v1.0.23.py:99-102","T,V_n,U,n,s","xi_eq","K,V,dimensionless","s selects monotonic direction","exact","synthetic inverse roundtrip; source inspection","확정","Stable two-branch logistic evaluation matches the stated equation."
"T009-006","1","eq:belliden;eq:eqpeak","_sections/ch1_sec06_eqpeak.tex:17-28","GraphiteAnodeDischargeDQDV.equilibrium","Anode_Fit_v1.0.23.py:528-545","V_n,T,Q_j,U_j,w_j,Cbg","dQ/dV","capacity/V","equilibrium is branch-neutral","exact","test_gates_v1023.py G1/G2/G3; area check","확정","Exact for the document's declared independent-logistic equilibrium approximation; it is not a validation of interacting equilibrium thermodynamics."
"T009-007","1","eq:gpp;eq:spinodal;eq:Veq;eq:hyssub;eq:hysdiff;eq:dUhys","_sections/ch1_sec04_hys.tex:29-105","func_dU_hys","Anode_Fit_v1.0.23.py:200-207","T,Omega","Delta_U_hys","K,J/mol,V","nonnegative; exactly zero for Omega<=2RT","exact","test_gates_v1023.py G2; independent zero-limit check","확정","Code implements the regular-solution spinodal gap produced by the documented derivation."
"T009-008","1","eq:hyssym;eq:Ubranch;eq:center","_sections/ch1_sec04_hys.tex:235-276","func_U_branch","Anode_Fit_v1.0.23.py:210-214","T,U_j,Omega,gamma,sigma_d,h_eta","U_branch","K,J/mol,V","symmetric plus/minus branch displacement","exact","test_gates_v1023.py G2; source inspection","확정","The gamma and h_eta factors remain phenomenological fitting inputs as documented."
"T009-009","1","eq:chid;eq:dHeff","_sections/ch1_sec08_lag.tex:62-74","func_chi_d;func_dH_a_eff;GraphiteAnodeDischargeDQDV._chi_and_dH_eff","Anode_Fit_v1.0.23.py:218-229;457-464","chi,sigma_d,dH_a,Omega","chi_d,dH_a_eff","dimensionless,J/mol","charge uses 1-chi; discharge uses chi","exact","source inspection; charge/discharge gate","확정","Exact mapping; the partition rule itself is phenomenological."
"T009-010","1","eq:Lqfull;eq:LV","_sections/ch1_sec08_lag.tex:118-126","func_L_q;GraphiteAnodeDischargeDQDV._resolve_lag_length;GraphiteAnodeDischargeDQDV.curve","Anode_Fit_v1.0.23.py:105-112;481-525;675-705","T,I,Q_cell,dH_a,dS_a,chi_d,A,dVdq_qa,c_rate","L_q,L_V","capacity,V; time basis implicit in h/kB","positive for I>0","naming-mismatch","ch1_time_unit_invariance_probe.csv:1-3; independent ratio=3599.999999999991","확정","The local algebra matches the equation, but the facade supplies I/Q_cell in 1/h to an attempt-frequency expression in 1/s."
"T009-011","1","eq:lag;eq:reversal","_sections/ch1_sec09_tail.tex:60;179","_causal_memory_pointwise;GraphiteAnodeDischargeDQDV.dqdv","Anode_Fit_v1.0.23.py:115-143;548-672","ordered V,xi_eq,L_V,sigma_d","xi_lag","V,dimensionless","causal traversal reverses on charge","numerical","test_gates_v1023.py G2; source inspection","확정","Piecewise-linear interval integration and reversal handling implement the documented causal discretization."
"T009-012","1","eq:peakshape;eq:tail-limit-start;eq:tail-limit-sub;eq:tail-limit-mid;eq:tail-limit","_sections/ch1_sec09_tail.tex:103-139","GraphiteAnodeDischargeDQDV.dqdv","Anode_Fit_v1.0.23.py:548-672","xi_eq,xi_lag,L_V,w,Q","peak contribution","capacity/V","orientation follows progression","numerical","test_gates_v1023.py unresolved-lag guard; zero-limit check","확정","The analytic equilibrium fallback is used when the lag scale is unresolved on the voltage grid."
"T009-013","1","eq:sum","_sections/ch1_sec10_sum.tex:12","GraphiteAnodeDischargeDQDV.dqdv","Anode_Fit_v1.0.23.py:548-672","transition peaks,Cbg","total dQ/dV","capacity/V","axis sign inherited from each peak","exact","test_gates_v1023.py G1/G2; area check","확정","Pointwise capacity-weighted summation is direct."
"T009-014","1","eq:sc-ratio-local","_sections/ch1_appE_selfconsistent.tex:94","_causal_memory_ratio;GraphiteAnodeDischargeDQDV._lag_ratio_geff","Anode_Fit_v1.0.23.py:146-177;466-478","xi_lag0,L_V,Omega,chi_d,T","xi_lag1,L_local","dimensionless,V","positive local lag scale","approximate","ch1_ratio_complete_affinity_probe.csv:1-21; selfconsistent gates; independent IVP rerun","확정","Code is exact to the declared same-update forward-factor approximation, but both document and code omit the complete-affinity denominator; implemented/complete reaches 3.717823 in the supplied grid."
"T009-015","1","eq:sc-transfer","_sections/ch1_appE_selfconsistent.tex:182","transfer_apparent_from_equilibrium","Anode_Fit_v1.0.23.py:180-195","uniform V,peak_eq,L_V","filtered peak","V,capacity/V","DFT sign convention","numerical","selfconsistent G-E4; independent edge-impulse probe","확정","The transfer multiplier is correct on a periodic grid, but the unpadded FFT imposes circular boundaries not stated by the public API; the edge probe returned 0.9032 early-response fraction."
"T009-016","2","eq:dSegate","_sections/ch1_sec15_lcoelec.tex:260","func_dSe_molar","Anode_Fit_v1.0.23.py:236-252","x,T,g_max_eV,x_MIT,dx_MIT","Delta_S_e","J/(mol K)","negative gated electronic contribution","exact","test_gates_v1023.py LCO gate; Motohashi full-source check","확정","Algebra matches the document. The default magnitude, per-atom interpretation, O3 endpoint gate, and logistic composition form are not established by Motohashi."
"T009-017","2","eq:lco-sigmaslot","_sections/ch1_sec11_lcointro.tex:95","LCOCathodeDQDV;GraphiteAnodeDischargeDQDV.curve","Anode_Fit_v1.0.23.py:675-705;977-1020","cell direction","sigma_d","dimensionless","LCO charge maps to sigma_d=+1","exact","test_gates_v1023.py direction checks; source inspection","확정","The wrapper convention matches the document; low-level dqdv still expects the physical sigma directly."
"T009-018","1","eq:implicit","_sections/ch2_sec05_mixing.tex:18","GraphiteAnodeDischargeDQDV.solve_U_oc","Anode_Fit_v1.0.23.py:796-874","x_bar,T,Q_j,U_j,n_j","U_oc","dimensionless,K,capacity,V","monotone charge residual","numerical","ch2_entropy_roundtrip_probe.csv:1-31; test_gates_v1023.py","확정","Bisection solves the declared independent-logistic conservation equation."
"T009-019","1","eq:dxidT;eq:weighted;eq:complete","_sections/ch2_sec05_mixing.tex:53-78;_sections/ch2_sec08_synthesis.tex:20","GraphiteAnodeDischargeDQDV._dwdT;GraphiteAnodeDischargeDQDV.entropy_coefficient;GraphiteAnodeDischargeDQDV.entropy_coefficient_x","Anode_Fit_v1.0.23.py:392-404;719-780;876-903","V_n or x_bar,T,transition thermodynamics","dU_oc/dT","V/K","Delta_S/F plus configurational and optional vibrational terms","numerical","ch2_entropy_roundtrip_probe.csv:1-31; independent FD max abs=2.4398e-12 V/K","확정","Analytic and finite-difference derivatives agree internally; this does not independently validate parameter provenance."
"T009-020","1","eq:Svib-einstein;eq:dSvib;eq:dUvib","_sections/ch2_sec04_einstein.tex:36-101","GraphiteAnodeDischargeDQDV._S_vib;GraphiteAnodeDischargeDQDV._vib_dS;GraphiteAnodeDischargeDQDV._vib_dU","Anode_Fit_v1.0.23.py:417-448","T,theta_E,T_ref","S_vib,dS_vib,dU_vib","J/(mol K),V","d(dU_vib)/dT=dS_vib/F","exact","test_gates_v1023.py theta_E gate; entropy FD probe","확정","The optional Einstein-mode chain is implemented exactly; absent theta_E preserves the baseline path."
"T009-021","1","eq:qrev","_sections/ch2_sec07_revheat.tex:19","GraphiteAnodeDischargeDQDV.reversible_heat;GraphiteAnodeDischargeDQDV.reversible_heat_x","Anode_Fit_v1.0.23.py:782-793;905-916","I,T,dU_oc/dT","q_rev","W","q_rev=-I*T*dU_oc/dT","exact","entropy roundtrip; independent sign check","확정","The reversible term and its single temperature factor match the documented Bernardi convention."
"T009-022","2","eq:U1T2;eq:dSegate","_sections/ch1_sec15_lcoelec.tex:226-260","LCOCathodeDQDV._effective_dS_rxn","Anode_Fit_v1.0.23.py:1003-1020","transition,x,T","effective dS_rxn","J/(mol K)","electronic entropy is added to base dS","approximate","ch2_electronic_temperature_freeze_probe.csv:1-6","확정","Code explicitly freezes the electronic term at 298.15 K, as the document and fitting guide disclose; at 278.15/318.15 K the probe gives +/-3.0641 J/(mol K) entropy error and 317.574 microV center-shift error. This is a declared scientific approximation, not an undisclosed code defect."
"T009-023","1","eq:qrev","_sections/ch2_sec07_revheat.tex:10-25","GraphiteAnodeDischargeDQDV.irreversible_heat","Anode_Fit_v1.0.23.py:918-926","I,U_oc,V","q_irr","W","q_irr=I*(U_oc-V)","exact","source inspection; independent q_irr=0.1 W sign check","확정","The preliminary code-only classification is refuted: the labeled equation explicitly contains both irreversible and reversible terms."
"T009-024","3","eq:blend-factor;eq:blend-occ","_sections/ch3v22_sec03_blend.tex:39-56","BlendedAnodeDQDV.__init__","Anode_Fit_v1.0.23.py:1207-1284","f_Si,host transitions,V,T","host capacities and occupancies","dimensionless,capacity","common voltage/chemical-potential axis","approximate","test_gates_v1023.py G3; source inspection","확정","Two independent host models share voltage; the document expressly omits a coupled nonideal partition function."
