"finding_id","domain","severity","status","versions","location","finding","effect","evidence","independent_check","correction_or_strengthening","code_impact","confidence"
"P5-CH1-001","C-rate/Eyring units","Critical","확정","v1.0.19-v1.0.23","Anode_Fit_v1.0.23.py:105-112,675-705; ch1_sec01_n0n1.tex:10-20,50-51; ch1_sec10_sum.tex:54-55","The public lag path combines c_rate declared in 1/h with an Eyring attempt time in seconds without one canonical charge/current conversion; C and Ah representations of the same experiment are not invariant.","The computed L_q and L_V can differ by exactly 3600 for one physical cell and current, so any fitted activation or lag parameter depends on the user's unit representation.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:105-112,675-705; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:54-55; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:2; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_time_unit_invariance_probe.csv:1-3","Re-evaluating one 1 Ah, 1 A case as 3600 C, 1 A gives L_V(Ah)/L_V(C)=3600; dimensional re-derivation requires |I|/Q_cell in s^-1 before multiplication by h/(k_B T). Refutation failed.","Adopt one API contract: either Q_cell in C and I in A, or convert c_rate/3600 explicitly; reject mixed representations and add representation-invariance tests.","Required code and API change in func_L_q/curve/current resolution plus tests and guide text.","0.99 (high)"
"P5-CH1-002","Detailed-balance/ratio closure","Critical","확정","v1.0.23","ch1_sec08_lag.tex:25-35,65-84,99-118; ch1_appE_selfconsistent.tex:46-64,75-105; Anode_Fit_v1.0.23.py:105-112,146-177","The optional ratio correction restores state dependence only in the forward barrier factor while the reverse-rate denominator remains frozen at the cut affinity, although both originate from the same local total affinity.","The advertised self-consistent closure is not the detailed-balance closure of one forward/reverse pair; checked lag-length errors are 13.25%, 36.66%, 99.93%, and 271.78% for Omega/RT=2,3,4,5 at the checked tail state.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:46-64,75-105; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:105-112,146-177; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_ratio_complete_affinity_probe.csv:1-21; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:3-7; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Bazant_2013_AccountsChemRes_10.1021_ar300145c.txt:130-217; https://doi.org/10.1021/ar300145c","Starting from k=r_plus[1+exp(-A_local/RT)] and using the same A_local in the barrier and reverse factor produces the missing denominator ratio; local checks remain nonzero and grow with Omega/RT. Refutation failed.","Re-derive the complete local forward/reverse rate, then derive the frozen and first-Picard approximations from it; do not patch only the exponential barrier.","Required redesign of optional ratio path and its oracle tests before enabling or claiming thermodynamic closure.","0.97 (high)"
"P5-CH1-003","Equilibrium thermodynamics/reduced peak model","Medium","확정","v1.0.19-v1.0.23","ch1_sec02b_part0.tex:309-315,343-375,445-460; ch1_sec04_hys.tex:20-87; ch1_sec06_eqpeak.tex:8-75; Anode_Fit_v1.0.23.py:99-102,527-672","The executable forward model uses an ideal logistic occupancy and susceptibility even when the same transition has Omega>2RT and is interpreted with a regular-solution double well; the document discloses that the two-phase width is phenomenological, so these are two model strata rather than one equilibrium free-energy derivative.","Omega cannot simultaneously be inferred from the logistic peak shape and interpreted as the interaction governing regular-solution binodal/spinodal thermodynamics; thermal and inverse interpretations become model-dependent even though the forward peak remains normalized.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec02b_part0.tex:309-315,343-375,445-460; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec06_eqpeak.tex:69-75; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:16-24; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Ferguson_Bazant_2014_ElectrochimActa_10.1016_j.electacta.2014.08.083.txt:120-141,295-305,435-466; https://doi.org/10.1016/j.electacta.2014.08.083","For Omega<2RT the regular-solution midpoint susceptibility divided by the ideal value is 1/[1-Omega/(2RT)] and equals 1 only at Omega=0; for Omega>2RT the common-tangent binodal and spinodal replace a single monotone equilibrium branch. The document's phenomenological caveat partly refutes an inconsistency claim, but not a single-free-energy interpretation.","Name the current path an ideal-logistic phenomenological peak model with a separate spinodal prior, or add a distinct regular-solution/common-tangent equilibrium mode and keep its ensemble broadening separate.","Documentation/parameter-semantics change required; a coherent thermodynamic mode would be a substantial optional code extension.","0.94 (high)"
"P5-CH1-004","Causal memory/finite-window state","High","확정","v1.0.19-v1.0.23","Anode_Fit_v1.0.23.py:115-143,548-672","Each call initializes the first lag state to the first equilibrium value and dqdv sorts samples by potential, so the result has no explicit incoming history and cannot represent cropped windows, arbitrary acquisition order, or reversals within one supplied path.","The same physical trajectory changes when its earlier window is removed, while a random permutation is treated as the same history after coordinate restoration; dynamic peaks can therefore depend on an undocumented artificial boundary condition.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:115-143,548-672; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:25-27","A full-path solve followed by cropping was compared with a fresh solve on the cropped window: maximum state error 0.0446344 and peak error 1.48781 V^-1. Random permutation/restoration changed the result by zero. Refutation failed.","Expose initial xi_lag or a state object, require a monotone acquisition path per branch, preserve caller order, and define reset/reversal semantics; retain voltage sorting only for explicitly equilibrium/stateless evaluation.","Required stateful API and dynamic-path test change; equilibrium path can remain unchanged.","0.99 (high)"
"P5-CH1-005","Approximation validation","High","확정","v1.0.23","ch1_appE_selfconsistent.tex:99-105,136-172; test_gates_v1023_selfconsistent.py:60-88","The epsilon expression is a local regime indicator, not the stated accuracy/safety certificate; the existing gate compares iterations derived from the same approximate update and supplies no independent nonlinear reference or error bound.","Users can accept materially inaccurate ratio peaks under certificate language; at epsilon=0.25 the independently converged peak error is about 29.6%, and at epsilon=1 the correction error is 261.5% and exceeds the frozen error.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:99-105,136-172; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/test_gates_v1023_selfconsistent.py:60-88; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:29-52","An independent DOP853 solve of the stated nonlinear ODE shows the ratio path improves the frozen path in the small/intermediate checked regime, so that part of the refutation succeeds. Grid n=5001,10001,20001,40001 converges to relative peak error 0.29612 for epsilon=0.25; no certificate-level bound exists.","Rename epsilon as a heuristic applicability indicator; add independent nonlinear IVP/Volterra oracle, residual and grid/tolerance convergence, reported error norms, and direct-solve fallback thresholds.","Required validation and wording change; direct nonlinear fallback is required if the optional path is used outside a calibrated tolerance.","0.98 (high)"
"P5-CH1-006","Thermal implicit derivative","High","확정","v1.0.19-v1.0.23","Anode_Fit_v1.0.23.py:360-404,719-916","When a transition supplies neither n nor w, _width uses the documented default n=1 and therefore w=RT/F, but _dwdT returns zero by grouping the default with a temperature-frozen explicit-w path.","entropy_coefficient_x and solve_U_oc disagree with finite differences for an allowed default transition, producing a 9.4666e-5 V/K error in the checked case; explicit n=1 is correct.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:360-404,719-916; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:53-56","Centered finite difference of solve_U_oc gives -9.466614e-5 V/K for both implicit-default-n and explicit-n cases; the analytic path differs by 9.466614e-5 only for the implicit default and by 1.85e-14 for explicit n. Refutation failed.","In _dwdT distinguish explicit w-only (0) from no n/no w (R/F), or reject the implicit default; add finite-difference tests for all three branches.","Required localized code and regression-test correction; current shipped defaults happen to specify n, so the defect is latent in the public transition API.","0.99 (high)"
"P5-CH1-007","Particle-size distribution/transport","High","근거 미발견","v1.0.20-v1.0.23","ch1_sec07_broadening.tex:231-313","The chapter concludes that micron-graphite radius dependence is quantitatively negligible and that the PSD integral becomes an identity, but the cited GITT source does not establish universal zero interparticle U spread and no particle-resolved dynamic calculation establishes that tau proportional to r^2 is only a second-order correction at finite current.","PSD-dependent relaxation may be absorbed incorrectly into one w and one L_V, biasing rate dependence, activation parameters, and the asserted separation of static heterogeneity from dynamic lag.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:231-313; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:62-64; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Park_2021_Materials_10.3390_ma14164683.txt:107-127,441-527,552-694; https://doi.org/10.3390/ma14164683; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Ferguson_Bazant_2014_ElectrochimActa_10.1016_j.electacta.2014.08.083.txt:541-599; https://doi.org/10.1016/j.electacta.2014.08.083","The thermodynamic Gibbs-Thomson estimate is dimensionally consistent as a conditional upper-bound calculation. However tau(15 um)/tau(1 um)=225 and tau(5 um)=625-25000 s over the cited D range, comparable to Park's 1200 s pulse/2400 s relaxation protocol; the finite-current dismissal cannot be derived from these values. Refutation failed for the universal/dynamic conclusion.","Retain the PSD integral and omission as an explicit modeling prior; report radius, diffusivity, protocol, and uncertainty; add particle-resolved sensitivity or multi-rate evidence before claiming dynamic insignificance.","Documentation correction required; particle-resolved or distributed-lag support is an optional model extension but required for the stronger physical claim.","0.90 (medium-high)"
"P5-CH1-008","Inverse identifiability","High","확정","v1.0.19-v1.0.23","ch1_sec07_broadening.tex:287-313; ch1_sec10_sum.tex:104-129; Anode_Fit_v1.0.23.py:527-705","The chapter correctly prohibits nonparametric inversion of rho(U_app), but it does not analyze structural or practical identifiability of the fitted per-reaction Q,U,w,Omega,gamma and lag parameters in its own finite mixture.","Identical or strongly overlapping components admit nonunique per-reaction capacities and correlated centers/widths; physically interpreted transition parameters can be optimizer-dependent even when the total curve fits exactly.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:287-313; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:527-705; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:59-61","For identical centers and widths the two capacity Jacobian columns are mathematically identical and only Q1+Q2 is observable; the numerical condition number is 1.19e16. It is 17.89 for centers separated by 5 mV and 1.135 at 100 mV. Refutation failed despite the separate rho-inversion warning.","Add an identifiability section and fit diagnostics using Jacobian SVD/rank, profile likelihood or posterior correlation; constrain or merge indistinguishable reactions and use multi-temperature/multi-rate/branch data for separation.","Required fitting/diagnostic and reporting change; forward evaluation itself need not change.","0.98 (high)"
"P5-CH1-009","FFT transfer helper","Medium","확정","v1.0.23","Anode_Fit_v1.0.23.py:180-195","transfer_apparent_from_equilibrium performs an unpadded FFT product, which computes circular rather than linear causal convolution.","A response near the high-voltage boundary wraps into the early-voltage boundary if this optional helper is used, violating causality and contaminating finite-window transfer comparisons.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:180-195; D:/Projects/Project_Anode_Fit/Codex/work/phase005/ch1_scientific_probe_results.csv:28","A late discrete impulse produced an early-window wrap amplitude equal to 0.489874 of the response maximum. Refutation failed; the helper is optional and not the main pointwise dqdv path.","Use zero-padded linear convolution (for example fftconvolve) with a declared causal kernel and finite-history initial condition; add edge-impulse tests.","Required localized correction if the public helper is retained; no impact on the default pointwise path while unused.","0.99 (high)"
"P5-CH1-010","Graphite staging voltage provenance","High","미검증","v1.0.19-v1.0.23","ch1_sec10_sum.tex:24-29; ch1v22_bib.tex:6-7; Anode_Fit_v1.0.23.py:1023-1056","The exact 0.085, 0.120, 0.125/0.140, and 0.210 V staging anchors used to justify initialization were not located in fully read primary text; the Dahn official abstract supports the stage sequence but not those values, and the Ohzuku full article was not retrievable.","Sample-dependent priors can be presented as source-exact constants, masking electrode, protocol, reference, and assignment uncertainty in fitted centers.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:24-29; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:6-7; https://doi.org/10.1103/PhysRevB.44.9170; https://doi.org/10.1149/1.2220849; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Park_2021_Materials_10.3390_ma14164683.txt:441-527; https://doi.org/10.3390/ma14164683","The official Dahn abstract independently confirms stage 4 to 3 to 2L to 2 to 1 and that all but 4 to 3 are first order, so the sequence concern is partly refuted. Park reports specimen-level quasi-open-circuit plateaus near 0.22, 0.12, and 0.08 V, but cannot verify each exact attribution. Exact-anchor refutation failed.","Provide primary page/figure/protocol locators for each voltage; otherwise label all as sample-dependent initialization priors with uncertainty and retain the observed 15 mV source disagreement.","Documentation/default metadata correction required; change numeric defaults only after a traceable source or fit specification is selected.","0.88 (medium-high)"
