"gap_id","chapter","priority","linked_findings","current_equation_or_state","current_failure","search_question","desired_source_type","admissible_output","prohibited_transfer","classification","search_disposition","status"
"G11-CH1-01","Chapter 1","P0","P5-CH1-001","L_q=(|I|/Q_cell)tau and curve c_rate contract","C-rate is declared in 1/h while Eyring time is in seconds; equivalent C and Ah inputs differ by 3600","Recent source is not needed to repair the dimensional error; search only for a standard battery-rate contract and an independently auditable units convention","Recent standards or primary model-method paper plus dimensional derivation","Canonical SI or explicitly converted hour-based API contract and invariance test","Using a citation to override dimensional analysis or retaining mixed units","must-repair","DIMENSIONAL_REPAIR_PLUS_METHOD_ANCHOR","OPEN"
"G11-CH1-02","Chapter 1","P0","P5-CH1-002;P5-CH1-005","Local detailed-balance lag and first-Picard ratio correction","Only the forward barrier is made local and the existing epsilon gate is not an accuracy certificate","Find recent thermodynamically consistent intercalation kinetics or nonlinear memory formulations with an independent reference solution and approximation error assessment","Primary theory/method paper with full equations and numerical validation","Complete local affinity in forward and reverse rates; calibrated approximation indicator; direct-solve oracle","Borrowing a generic Butler-Volmer equation without matching state variables and reverse-rate closure","must-repair","SEARCH_RECENT_KINETIC_CLOSURE_AND_VALIDATION","OPEN"
"G11-CH1-03","Chapter 1","P0","P5-CH1-004;P5-CH1-007","Stateless voltage-sorted causal memory and one lag length per transition","Incoming history, reversal state, particle-size-dependent diffusion and cropped-window boundary conditions are absent","Find recent graphite particle/phase-field/mosaic theories that resolve history, rate, size, diffusion and heterogeneous transformation pathways","Direct Li-graphite theory or operando-constrained model paper","Stateful branch evolution; particle or distribution-resolved sensitivity; explicit reset/reversal conditions","Transferring LiFePO4 parameters or claiming graphite PSD irrelevance from an adjacent material","must-repair","SEARCH_DIRECT_GRAPHITE_HISTORY_TRANSPORT","OPEN"
"G11-CH1-04","Chapter 1","P0","P5-CH1-008","Finite logistic mixture with Q,U,w,Omega,gamma and lag parameters","Overlapping components and correlated broadening/lag parameters are not structurally or practically identifiable","Find recent battery-model identifiability, UQ and experimental-design methods suitable for ICA/DVA mixtures and multi-temperature/rate/branch data","Primary methods paper with worked battery inverse problem","Jacobian rank/SVD, profile likelihood or posterior correlation and experiment-design criteria","Importing numerical thresholds or priors from a different chemistry as material constants","must-repair","SEARCH_COMMON_IDENTIFIABILITY_UQ","OPEN"
"G11-CH1-05","Chapter 1","P1","P5-CH1-010;P5-CH1-012","Fixed staging centers and phase-class assignments","Exact voltages lack traceable source locators and a potassium-graphite analogy is load-bearing for lithium-graphite phase class","Find 2021-2026 direct Li-graphite finite-temperature phase/order, operando-constrained phase-field and staging thermodynamics papers","Direct Li-graphite primary theory or theory-experiment paper","Material-specific phase classification, temperature/composition windows and uncertainty-qualified voltage priors","Using K-intercalated graphite or other hosts as direct Li-graphite evidence","must-repair","SEARCH_DIRECT_GRAPHITE_STAGING_PHASE_THEORY","OPEN"
"G11-CH1-06","Chapter 1","P1","P5-CH1-011","Transition-specific Eyring barrier defaults","The cited first-principles trend is reversed and the effective fitted barrier is not comparable to atomistic migration barriers","Find recent graphite transport theories that distinguish microscopic migration, chemical diffusion, nucleation and fitted relaxation barriers","Direct graphite primary theory with state and protocol definition","Barrier taxonomy, admissible comparison basis and broad prior bounds","Equating DFT hop barriers with an empirical whole-electrode lag activation energy","must-repair","SEARCH_GRAPHITE_BARRIER_TAXONOMY","OPEN"
"G11-CH1-07","Chapter 1","P0","P5-CH1-014;P5-CH1-015","Temperature-dependent MSMR/entropy anchors","One bibliography key resolves to the wrong paper and a graphite entropy coefficient is tenfold too large","Retrieve and verify recent MSMR temperature papers and direct graphite entropymetry/finite-temperature theory","Primary paper and full figure/equation read","Correct bibliographic identity; temperature law and uncertainty on entropic potential","Using reviews or abstract-only values as exact numerical anchors","must-repair","RETRIEVE_AND_VERIFY_DIRECT_SOURCES","OPEN"
"G11-CH1-08","Chapter 1","P0","P5-CH1-006","Default width w=RT/F but dwdT=0 when n and w are absent","Allowed API branches use inconsistent derivatives","No literature search is required for the algebraic defect; use finite-difference and symbolic checks, then use recent theory only to decide which widths are thermodynamic","Analytic derivation plus primary thermodynamic-width source","Branch-consistent derivative and explicit empirical-versus-thermal width contract","Treating every fitted width as equilibrium configurational entropy","must-repair","ALGEBRAIC_REPAIR_PLUS_WIDTH_SCOPE_SEARCH","OPEN"
"G11-CH1-09","Chapter 1","P1","","Single logistic peak per named graphite transition","Modern finite-temperature staging, mosaic transformation and coherency physics may require an explicit competing model or a validity boundary","Which 2021-2026 graphite theories add essential state variables or predict observables that the present mixture cannot represent?","Direct graphite cluster/phase-field/transport theory","Competing-model section, state-variable map and validation observables","Adding complexity that cannot affect ICA/DVA or be tested by the stated data","valuable-enrichment","SEARCH_RECENT_GRAPHITE_THEORY_FRONTIER","OPEN"
"G11-CH2-01","Chapter 2 - LCO priority","P0","P6-CH2-001;P6-CH2-002","Reynier 0.18 kB/atom and Motohashi g_max=13 endpoint anchors","State entropy, partial molar entropy, susceptibility-derived DOS, phase, composition and normalization are conflated","Find recent composition-resolved LCO electronic structure, calorimetry or entropymetry that can distinguish S_e(x), dS_e/dx and total lithiation entropy","Direct LCO primary theory/experiment with composition and normalization","Correct quantity identity; bounded endpoint prior; explicit formula-unit/spin normalization","Moving O1 x=0 endpoint data into O3 x~0.85 without a phase-aware model","must-repair","SEARCH_DIRECT_LCO_ELECTRONIC_ENTROPY_EVIDENCE","OPEN"
"G11-CH2-02","Chapter 2 - LCO priority","P0","P6-CH2-003;P6-CH2-004;P6-CH2-005;P6-CH2-006;P6-CH2-007","Empirical logistic g(EF,x), frozen x_center and frozen T_ref electronic entropy","No source derives the kernel or width; code removes composition locality and T^2 integration; parameters collapse to one amplitude; ablation changes reference calibration","Determine whether any 2021-2026 direct LCO paper supports a local logistic electronic gate; otherwise identify a source-faithful free-energy or phase-fraction alternative","Direct LCO correlated-electron, phase-field or finite-temperature free-energy paper","Negative result if unsupported; phase-aware electronic free energy, latent-heat/phase-fraction model or clearly labeled amplitude-only surrogate; nested-refit ablation","Equating Fermi-Dirac energy occupation with a composition logistic; converting a coexistence interval directly to Delta x","must-repair","SEARCH_LCO_GATE_REFUTATION_AND_REPLACEMENT","OPEN"
"G11-CH2-03","Chapter 2 - LCO priority","P0","P6-CH2-008","F=F_config+F_vib+F_e with F_cross~0","Ordering, electronic localization, lattice distortion and phonons are coupled near the modeled transitions but cross terms are unbounded","Find recent LCO finite-temperature calculations that combine configurational, vibrational, electronic, magnetic or strain degrees of freedom or clearly quantify omissions","Direct first-principles statistical mechanics, phonon/free-energy or coupled phase-field paper","One coupled free energy or explicit non-unique additive ansatz with model discrepancy and covariance","Claiming unique component separation from one entropic-potential curve","must-repair","SEARCH_COUPLED_LCO_FREE_ENERGY","OPEN"
"G11-CH2-04","Chapter 2 - LCO priority","P0","P6-CH2-009","Positive single-composition regular-solution Omega used as Li/vacancy ordering criterion","The model can demix but has no order parameter or sublattice state and cannot represent ordered/disordered states at the same composition","Find recent finite-temperature LCO cluster expansion/Monte Carlo, sublattice/order-parameter and phase-field scale-bridging theory","Direct LCO primary theory with equations and phase diagram","Explicit occupational order variables or cluster interactions; chemical potential and voltage map; reduced-order surrogate with stated loss","Calling Omega>2RT an if-and-only-if microscopic ordering condition","must-repair","SEARCH_LCO_ORDER_PARAMETER_AND_CLUSTER_THEORY","OPEN"
"G11-CH2-05","Chapter 2 - LCO priority","P0","P6-CH2-010","w=nRT/F used for both equilibrium width and empirical two-phase broadening","Heterogeneity, coherency, kinetics and instrument width can be converted into fictitious configurational entropy","Find recent LCO phase-field/microstructure and finite-temperature thermodynamic work that separates intrinsic free-energy curvature from mesoscale and measurement broadening","Direct LCO phase-field, statistical-mechanics or operando-constrained theory","Separate thermodynamic response from convolution/kinetic kernels and identify testable temperature/rate/size scaling","Propagating an empirical dQ/dV width into reversible heat without equilibrium validation","must-repair","SEARCH_LCO_WIDTH_DECOMPOSITION","OPEN"
"G11-CH2-06","Chapter 2 - LCO priority","P1","P6-CH2-011","Arithmetic charge/discharge entropy-coefficient average","Metastable branches need not be antisymmetric or state-function derivatives","Find recent equilibrium entropymetry and hysteretic phase-transition theory establishing relaxation and branch-symmetry criteria","Direct LCO or general intercalation primary methods paper","Equilibrium reference protocol; branch mean retained only as a tested diagnostic","Treating any branch average as reversible entropy","must-repair","SEARCH_EQUILIBRIUM_ENTROPY_PROTOCOL","OPEN"
"G11-CH2-07","Chapter 2 - LCO priority","P1","P6-CH2-012","Chapter 2 imports Chapter 1 LCO and thermal sections","The claimed review/textbook chapter is not self-contained and mixes proposed and implemented models","Search recent reviews only to benchmark structure and terminology after direct theories are fixed","Recent authoritative LCO review plus direct primary sources","Self-contained state definitions, phase map, validity domain, observable and implementation boundary","Using a review as the sole basis for quantitative equations","must-repair","SEARCH_REVIEW_STRUCTURE_BENCHMARK","OPEN"
"G11-CH2-08","Chapter 2 - LCO priority","P1","","Current phase map stops near routine <=4.2-4.5 V while high-delithiation claims appear nearby","Oxygen release, stacking transitions and surface/bulk reconstruction can silently invalidate the state space","Find 2021-2026 LCO high-voltage thermodynamic/kinetic stability theory only to define the model boundary","Direct first-principles or theory-experiment LCO paper","Composition/voltage/temperature domain boundary and excluded phases","Expanding the reduced O3 model to high-voltage degradation without new states","scope-boundary","SEARCH_LCO_HIGH_VOLTAGE_DOMAIN_LIMITS","OPEN"
