chapter,master,order,file,total_lines,purpose_class,purpose,headings,labels,structure_notes
1,ch1_graphite_v1.0.23.tex,1,_sections/ch1_sec00_intro.tex,94,orientation,State the Chapter 1 path from experiment to curve and heat.,section:서론 --- 본 장이 따라가는 것,,
1,ch1_graphite_v1.0.23.tex,2,_sections/ch1_sec01_n0n1.tex,257,conventions,"Fix symbols, direction signs, experimental mapping, and polarization.","section:기호와 규약, 실험조건 매핑, 분극 (N0, N1) || subsection:실험조건 매핑과 방향 부호 --- $\mathrm N0$ || subsection:기호 마스터표와 흑연 staging 개관 || subsection:분극 --- 측정 전위에서 내부 전위로 ($\mathrm N1$) || subsection:점별 평가 원칙 --- 자연 경계가 여는 여유",sec:notation;sec:n0map;sec:notation-table;sec:pol;sec:pointwise,
1,ch1_graphite_v1.0.23.tex,3,_sections/ch1_sec02a_part0.tex,391,prerequisite,"Develop ensembles, occupancy statistics, fluctuation, and ideal lattice gas.",section:통계역학 기초 --- 분배함수에서 Nernst 식까지 (Part 0) || subsection:앙상블과 Boltzmann·Gibbs 인자 --- 분배함수와 화학퍼텐셜 $\mu$ || subsection:단일 삽입 자리 --- 점유 통계와 그 요동 || subsection:$M$ 개의 독립 자리 --- lattice gas 와 섞임 엔트로피,sec:sm-found;sec:sm-ensemble;sec:sm-site;sec:sm-lattice,
1,ch1_graphite_v1.0.23.tex,4,_sections/ch1_sec02b_part0.tex,474,prerequisite,"Add mean-field interaction, electrochemical potential, multi-class balance, and Nernst bridge.","subsection:평균장 상호작용 --- 정규용액 $\mu(\theta)$·$g(\xi)$ 와 이중웰(double-well) 문턱 || subsection:전기화학 연결 --- $\mu_\mathrm{Li || subsection:다클래스 lattice gas --- 전하 보존식의 대정준 반전 || subsection:거시 열역학으로 --- $G\equiv H-TS$, $\Delta G_j=-sFU_j$, Nernst 식",sec:sm-mf;sec:sm-mc;sec:sm-macro,
1,ch1_graphite_v1.0.23.tex,5,_sections/ch1_sec03_center.tex,121,derivation,Derive transition centers from reaction thermodynamics.,"section:평형 중심 $U_j(T)$ --- 열역학에서 (N2) || subsection:$G,\mu$ 와 평형 조건 --- 유도 || subsection:$U_j(T)$ --- 온도 환산",sec:center;sec:center-eqcond;sec:center-Uj,
1,ch1_graphite_v1.0.23.tex,6,_sections/ch1_sec04_hys.tex,336,model,Introduce regular-solution spinodal gap and phenomenological branch centers.,"section:히스테리시스 분기 중심 (N3) || subsection:상호작용이 평형을 비트는 곳 --- $\mu(\theta)$ 의 상호작용 몫 || subsection:gap 의 닫힌 꼴 --- 두 spinodal 의 전위 차 || subsection:방향별 분기 중심 $U_j^{\,d",sec:hys;sec:hys-spinodal;sec:hys-gap,
1,ch1_graphite_v1.0.23.tex,7,_sections/ch1_sec05_width.tex,415,derivation-model,Derive logistic occupancy and distinguish thermal from fitted width.,"section:평형 진행률 $\xi_\eq$ 와 폭 $w_j$ (N5, N4) || subsection:평형 진행률 $\xi_\eq$ --- logistic 의 유도 || subsection:폭 $w_j$ --- 이상 극한$\cdot$일반화$\cdot$그 이중지위 || subsection:같은 결과의 분포 관점 --- $\xi_\eq$ 는 평형 점유 분포의 여집합",sec:width;sec:width-logistic;sec:width-w;sec:dist,
1,ch1_graphite_v1.0.23.tex,8,_sections/ch1_sec06_eqpeak.tex,89,observable,Map equilibrium occupancy derivative to dQ/dV peak.,section:평형 peak --- $|I|\to0$ 기준선 (N6),sec:eqpeak,
1,ch1_graphite_v1.0.23.tex,9,_sections/ch1_sec07_broadening.tex,357,review-scope,Taxonomize broadening sources and delimit derivable versus fitted width.,section:두-상 broadening --- 평형 델타가 실측 종이 되는 까닭과 폭 $w_j$ 의 지위 (N6 확장) || subsection:전이별 출발 --- 애초에 종인 전이와 평형 델타인 전이 || subsection:둘째 부류의 델타가 종이 되는 까닭 --- broadening 의 세 출처 || subsection:이 절의 범위 --- 유도로 닫는 경계,sec:broadening;sec:broadening-class;sec:broadening-sources;sec:broadening-scope,
1,ch1_graphite_v1.0.23.tex,10,_sections/ch1_sec08_lag.tex,145,kinetics-model,"Define Eyring-inspired lag scale, affinity cut, and voltage conversion.",section:동역학 지연 길이 $L_V$ (N7) || subsection:지연의 보편 방정식과 용량축 길이 $L_q$ || subsection:컷 affinity $\mathcal A$ --- 꼬리 시작점의 구동력 || subsection:방향별 전달 계수와 유효 장벽 || subsection:$L_q$ 의 평가와 전압축 환산 $L_V$,sec:lag;sec:lag-Lq;sec:lag-cut;sec:lag-chid;sec:lag-LV,
1,ch1_graphite_v1.0.23.tex,11,_sections/ch1_sec09_tail.tex,245,numerics-observable,"Derive causal memory tail, direction reversal, and limits.",section:인과 기억 꼬리와 충전에서의 방향 반전 (N8) || subsection:인과 기억 적분과 지연 진행률 $\xi_\mathrm{lag || subsection:peak 모양과 그 평형 극한 || subsection:충전에서의 방향 반전 --- 진행 방향의 과거,sec:tail;sec:tail-peakshape;sec:tail-reversal,
1,ch1_graphite_v1.0.23.tex,12,_sections/ch1_sec10_sum.tex,170,synthesis-example,"Sum transitions, supply staging seeds, and work one end-to-end point.",section:합산과 흑연 staging 초기값 (N9) || subsection:staging 전이 초기값 --- 피팅 출발점 || subsection:끝-대-끝 계산 예제 --- $V_n=0.085$ V 한 점,sec:sum;sec:sum-staging;sec:sum-worked,
1,ch1_graphite_v1.0.23.tex,13,_sections/ch1v22_partT_divider.tex,14,transition,Open the thermal-properties part inside Chapter 1.,,,
1,ch1_graphite_v1.0.23.tex,14,_sections/ch2_sec00_intro.tex,71,orientation,Motivate statistical treatment of entropy.,section:서 --- 왜 엔트로피에는 통계가 필요한가,,
1,ch1_graphite_v1.0.23.tex,15,_sections/ch2_sec01_partition.tex,149,prerequisite-repeat,"Re-derive partition function, logistic occupancy, and Bragg-Williams interaction.",section:격자기체 분배함수에서 점유 분포로 || subsection:단일 자리 대정준 분배함수 || subsection:전기화학 퍼텐셜과 Part I logistic 의 기원 || subsection:다자리 평균장 --- Bragg--Williams 와 상호작용,sec:partition;ssec:site;ssec:logistic;ssec:BW,Substantial prerequisite repetition after Chapter 1 Part 0; candidate for compression or cross-reference.
1,ch1_graphite_v1.0.23.tex,16,_sections/ch2_sec02_config.tex,190,derivation,Derive configurational entropy and temperature coefficient without double counting.,section:점유 분포에서 configurational 엔트로피로 || subsection:$S_\config$ 와 부분몰 형태 || subsection:온도 미분 $\partial V/\partial T|_\xi$ --- $w$ 가 이미 담고 있던 config || subsection:분해 원리 --- 이중계산 금지 (파생 B 본체) || subsection:문헌 검증 --- Part I staging 엔트로피와의 정합,sec:config;ssec:sconfig;ssec:dvdt;ssec:decomp;ssec:litverif,
1,ch1_graphite_v1.0.23.tex,17,_sections/ch2_sec03_vibel.tex,118,review-derivation,Introduce vibrational and electronic entropy distributions.,section:vibrational(포논)$\cdot$electronic(전자) 엔트로피 --- 두 분포의 추가 || subsection:vibrational 엔트로피 --- 포논 Bose--Einstein 분포 || subsection:electronic 엔트로피 --- Fermi--Dirac 분포와 Sommerfeld 항 || subsection:세 분포의 총괄과 반응 vs 활성화 엔트로피,sec:vibel;ssec:vib;ssec:elec;ssec:threedist,
1,ch1_graphite_v1.0.23.tex,18,_sections/ch2_sec04_einstein.tex,207,model-extension,Add optional Einstein-mode temperature correction and round-trip identity.,"section:전이 중심의 온도 확장 --- Einstein 진동 보정 || subsection:닫힌형 $S_\vib(T;\theta_{E,j || subsection:기준온도 편차와 중심 이동 --- round-trip 정합 || subsection:수치 크기와 식별 --- 3온도점",sec:einstein;ssec:einstein-roundtrip;ssec:einstein-numid,
1,ch1_graphite_v1.0.23.tex,19,_sections/ch2_sec05_mixing.tex,245,derivation-synthesis,"Derive implicit overlap weighting, complete entropy coefficient, and hysteresis averaging.",section:섞임과 겹침 --- 분포가 만드는 $\partial U_\oc/\partial T(x)$ 의 모양 || subsection:파생 A --- 음함수 사슬과 겹침 가중 || subsection:파생 A(이어서) --- 단순식과 완전식: 계단이 아닌 연속 블렌드 || subsection:파생 B --- 봉우리 내부 config 와 이중계산 분리 || subsection:파생 C --- 폭 $w$ 의 이중지위: 단상 평형 예측 vs 두-상 현상학적 피팅 폭 || subsection:파생 D --- 히스테리시스: 충/방전 분기와 가역/비가역 분리,sec:mixing;ssec:overlap;ssec:blend;ssec:derivB;ssec:weff;ssec:hys,
1,ch1_graphite_v1.0.23.tex,20,_sections/ch2_sec06_limits.tex,53,validity,"List limits, corner cases, and constant-reaction-entropy assumptions.","section:극한과 코너(corner case) --- 분포 검산과 ``$\Delta S_{\rxn,j",,
1,ch1_graphite_v1.0.23.tex,21,_sections/ch2_sec07_revheat.tex,102,observable,Map entropy coefficient to reversible heat with sign conventions.,section:가역 발열 --- 분포를 재배열하는 열 || subsection:에너지 수지와 두 전제 || subsection:부호와 라벨 층위 --- ``방전($I>0$)'' 의 충돌 || subsection:분포 재배열 열로서의 해석,sec:revheat;ssec:balance;ssec:signlabel;ssec:revinterp,
1,ch1_graphite_v1.0.23.tex,22,_sections/ch2_sec08_synthesis.tex,231,synthesis-example,"Present the computational formula, worked value, and five-point sign table.",section:계산용 종합식과 계산 예제 || subsection:종합식과 입력 사양 || subsection:계산 예제 --- stage $2\!\to\!1$ 부근 한 점의 가역 발열 || subsection:SOC 부호 교대 --- 다섯 점으로 확장,sec:synthesis;ssec:synth;ssec:worked;ssec:qrevtab,
