proposal_id,priority,chapter,current_location,terra_change_type,sol_disposition,scientific_rationale,dependency_guard,exact_adjudicated_action,literature_guard,confidence
"P8-REORG-001","Required","Chapter 1","ch1_sec00_intro.tex:14-28 plus ch1_sec02a_part0.tex:1-391 and ch1_sec02b_part0.tex:1-474","분할","MODIFY","Part 0 is explicitly the common root, not detachable background: it closes the no-prior-knowledge chain and supplies the multi-class inversion used by Chapters 1-3 (ch1_sec00_intro.tex:22-28; ch1_sec02a_part0.tex:6-18; ch1_sec02b_part0.tex:282-335; 2026-07-17-v1022-master-plan.md:34-45).","Keep all load-bearing labels in the Chapter 1 master. Later uses include ch1_sec03_center.tex:8, ch2v22_notation.tex:5-10, ch3v22_sec03_blend.tex:7-12, and ch1v22_partT_divider.tex:11-14; a separately built appendix would require a new external-document contract and could reverse first-use order.","Retain Part 0 as a named main-text Foundation Part. Add the proposed 2-4 page fast-route bridge and a dependency/return map, but do not relocate the complete 865-line foundation. Only optional excursions may move, in the same master, after a label-reference and premise-use audit.","LIT-005 may support organization only because access was metadata/TOC; LIT-049 and LIT-011 are abstract-only staging/review bridges and cannot support Part 0 equations or parameters (phase004_additional_literature_source_matrix.csv:6,12,50; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:34-36).","high"
"P8-REORG-002","Required","Chapter 1","ch1_sec04_hys.tex:31-115","확장","ADOPT","The present regular-solution construction can be read too directly as observed hysteresis, while Phase 004 requires equilibrium, metastability/spinodal, nucleation/mosaic, porous-electrode polarization, and path hysteresis to be separated (PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:169-174; ch1_sec04_hys.tex:31-115).","Do not change or relabel the current equations. Insert the hierarchy before branch-center interpretation and make Chapter 3 reuse the taxonomy rather than the graphite parameter meaning (ch3v22_sec01_map.tex:79-87; ch3v22_sec04_mech.tex:71-99).","Adopt the hierarchy/status box immediately before the reduced branch model; route each branch parameter to equilibrium-limit, phenomenological, or unresolved-mechanism status.","Use LIT-004 for taxonomy, LIT-010 for the nucleation/mosaic/transport hierarchy with its LiFePO4 transfer limit, and LIT-003 only for unresolved porous-electrode gradients; none calibrates Omega or the lag/tail kernel (phase004_additional_literature_source_matrix.csv:4-5,11).","high"
"P8-REORG-003","Required","Chapter 1","ch1_sec05_width.tex:1-415; ch1_sec07_broadening.tex:1-357; ch2_sec01_partition.tex:83-95; ch2_sec05_mixing.tex:1-245","통합","MODIFY","A canonical width-status table would reduce silent double counting, but Part T explicitly repeats only the minimum self-contained chain needed to derive entropy and states the single-phase/two-phase distinction locally (ch2_sec01_partition.tex:10-14,83-95; ch1v22_partT_divider.tex:11-14).","Preserve the Part T labels and local equations because later thermal sections reference them (ch2_sec02_config.tex:19-36,66,101; ch2_sec05_mixing.tex:36-43,165-191; ch2_sec08_synthesis.tex:23-55). Cross-reference the canonical table without making Part T non-self-contained.","Create one canonical regime/status table after the Chapter 1 width derivation. Keep Part T's short lattice-gas/logistic recap and entropy-specific derivation; remove only duplicated explanatory background that has no local dependency.","LIT-049 and LIT-011 may frame staging/reduced representation only; LIT-030 is abstract-only and may define entropic-potential interpretation, not calibrate graphite width or additive entropy components (phase004_additional_literature_source_matrix.csv:12,31,50).","high"
"P8-REORG-004","Required","Chapter 1","ch1_sec06_eqpeak.tex:1-89 through ch1_sec09_tail.tex:1-245","이동","MODIFY","The full equilibrium observable already precedes broadening, lag, and tail in the master, and its derivative requires occupancy and width first (ch1_graphite_v1.0.23.tex:28-33; ch1_sec06_eqpeak.tex:1-89; phase004_model_dependency_graph.md:43-52). Moving the derivation earlier would invert its mathematical prerequisites.","Keep N6-N8 files and labels in their current order. The observable orientation may precede derivation, but eq:eqpeak and downstream N6-N8 references must remain after xi_eq and w_j are defined (ch1_sec02a_part0.tex:17-18; ch1_sec18_inputs.tex:20-23).","Add an early measurement/operator and non-identifiability orientation box after N1. Retain the current derivation order: state/equilibrium model, observable derivative, broadening taxonomy, then lag/tail.","LIT-003 may bound lumped polarization and LIT-004 may guard hysteresis terminology; neither validates a unique latent component or the chosen kinetic kernel (phase004_additional_literature_source_matrix.csv:4-5).","high"
"P8-REORG-005","Required","Chapter 1","ch1_sec18_inputs.tex:1-70 and ch2_sec09_method.tex:1-64","확장","ADOPT","The chapter exposes all parameters and a forward/multi-temperature recipe but explicitly leaves fit scope to the user and supplies no identifiability result (ch1_sec18_inputs.tex:5-24; ch2_sec09_method.tex:9-29; phase004_model_dependency_graph.md:36-38,68-75).","Add new labels without moving current equations. Chapters 2 and 3 should reference the common inverse method and add material-specific parameter/data matrices; no fitted parameter may be relabeled mechanistic merely by reorganization.","Add the inverse/identifiability section after kinetics/synthesis and before validity/UQ, including parameter grouping, objective/weights, constraints, sensitivity/correlation, profile likelihood or equivalent, non-uniqueness, and data requirements.","LIT-028 and LIT-050 support only a general inverse boundary and method criterion; they do not supply battery priors, a likelihood, or proof that present parameters are identifiable (phase004_additional_literature_source_matrix.csv:29,51).","high"
"P8-REORG-006","Required","Chapter 1","ch1_sec18_inputs.tex:26-68; ch1_appA_signcheck.tex; ch1_appB_codemap.tex; ch2_appA_traps.tex; ch2_appB_codemap.tex; ch1_appE_selfconsistent.tex","분할","MODIFY","A validity/UQ-to-reproducibility close is needed, but the optional self-consistent appendix has a separately declared source-verification dependency and cannot be promoted or reordered as established method (ch1_appE_selfconsistent.tex:1-212; HANDOVER_v1.0.22.md:91-115; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:230-244).","Keep all appendices in the same Chapter 1 master and preserve labels. Any divider/grouping change must retain sign-check and code-map references; the P3-5 method remains optional until its source chain is verified (HANDOVER_v1.0.22.md:103-115).","Insert validity/UQ and reproducibility dividers, group the two code maps under reproducibility, and retain the advanced self-consistency appendix last with an explicit optional/unverified-source banner. Do not make it a prerequisite.","Use LIT-028/LIT-050 only for inverse/UQ method discipline. Internal numerical artifacts support reproducibility only, and Phase 004 explicitly says source traceability does not prove equation correctness (phase004_additional_literature_source_matrix.csv:29,51; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:232-244).","high"
"P8-REORG-007","High-value","Chapter 1","ch1_graphite_v1.0.23.tex:2-5; all source comments marked '% 자산:'; ch1_sec18_inputs.tex:26-37","삭제","REJECT","The cited asset/R-phase text is non-rendered source provenance, while the project plan requires asset lineage and change control; deleting it has no reader-facing structural benefit and can erase audit anchors (ch1_graphite_v1.0.23.tex:1-5; 2026-07-17-v1022-master-plan.md:17-26,49-64).","Do not delete source provenance comments. Reader-facing code navigation can be reduced independently, and scientific comments, labels, and audit anchors must remain untouched.","Reject source-comment deletion as a structural action. Limit any later authorized cleanup to rendered implementation prose and replace it with one reproducibility pointer; preserve audit history externally and in existing comments.","No literature is relevant to source-provenance deletion. Preserve all scientific citation keys and claim-status comments; no new source is authorized by this action.","high"
"P8-REORG-008","Required","Chapter 2","ch2v22_sec00_intro.tex:4-8; ch2v22_notation.tex:5-14","확장","ADOPT","Chapter 2's declared genre is a dependent material-delta volume chapter, not a standalone review: it repeats no derivation and cites Chapter 1 equations directly (ch2_lco_v1.0.23.tex:2-7; ch2v22_sec00_intro.tex:4-8; 2026-07-17-v1022-master-plan.md:4,8-14).","Retain external references and inherited symbol names, but ensure the local recap defines every state variable and equation role needed to read the LCO additions. Do not duplicate or fork canonical equations.","Add a compact opening state/equation recap and explicitly label the genre 'volume chapter; not a standalone review.' Keep the parameter-plus-extra-term design.","LIT-005 may support organizing order only at metadata/TOC level. Do not use LIT-034/REV-LCO-001 or any HOLD record until its required full-text support is obtained (phase004_additional_literature_source_matrix.csv:6; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:148-163).","high"
"P8-REORG-009","Required","Chapter 2","ch1_sec11_lcointro.tex:17-25; ch1_sec12_lcocenter.tex:1-112; ch1_sec13_lcohys.tex:108-177","이동","MODIFY","Measured LCO topology and a coarse regular-solution reduction must be distinguished before the model is interpreted; Phase 004 specifically rejects treating ordering evidence as single-Omega validation (ch1_sec11_lcointro.tex:15-23; ch1_sec13_lcohys.tex:27-42; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:130-139).","Do not move load-bearing equations across their Chapter 1 prerequisites or change labels. Insert an evidence/status subsection before the current LCO reduction and retain the existing center-to-gap derivation order.","Add a pre-model LCO material/phase/observable evidence subsection, then present the current regular-solution construction in place as an effective reduction with explicit failure modes. Do not claim literal site-physics equivalence.","LIT-027 is abstract-only and supports only coarse-reduction framing; LIT-035 constrains structure/observable interpretation but cannot calibrate the electronic gate. No source may provide Omega numerics here (phase004_additional_literature_source_matrix.csv:28,36).","high"
"P8-REORG-010","Required","Chapter 2","ch1_sec14_lcodecomp.tex:1-143; ch1_sec15_lcoelec.tex:1-396; ch1_sec17_msmr.tex:96-176","분할","ADOPT","The manuscript eventually distinguishes decomposition slots, frozen/project assumptions, and MSMR functional homology from physical identity, but these guards should precede first use (ch1_sec14_lcodecomp.tex:120-141; ch1_sec15_lcoelec.tex:160-179; ch1_sec17_msmr.tex:96-101; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:119-139).","Create a summary box with pointers; retain the detailed derivations and their labels in place. The box must not imply independently identifiable components before the new inverse gate.","Insert the proposed status box before the electronic-gate equation and surface the MSMR non-identity warning there; keep the detailed later derivations and demonstrations unchanged in order.","LIT-030 is abstract-only definitions/measurement guidance, LIT-035 constrains structure but does not calibrate the gate, and LIT-019 supports material/protocol uncertainty but not component separation (phase004_additional_literature_source_matrix.csv:20,31,36).","high"
