trace_id,chapter,equation_label,document_location,code_symbol,code_location,inputs,outputs,units,signs,class,numeric_test,status,notes
T009-001,1,eq:n0map,_sections/ch1_sec01_n0n1.tex:17,GraphiteAnodeDischargeDQDV.curve,Anode_Fit_v1.0.23.py:675-705,"c_rate,Q_cell,I_abs,direction","I_abs,sigma_d",c_rate 1/h; Q_cell unspecified charge unit,delithiation sigma_d,naming-mismatch,probe_ch1_time_unit_invariance.py,DEFECT,I/Q_cell enters an Eyring expression in s^-1 without the required 1/3600 conversion when curve() receives C-rate in 1/h.
T009-002,1,eq:vn,_sections/ch1_sec01_n0n1.tex:184,GraphiteAnodeDischargeDQDV.dqdv,Anode_Fit_v1.0.23.py:548-672,"V_app,I_abs,Rn,sigma_d",V_n,"V,A,ohm",V_n=V_app-sigma_d I R,exact,test_gates_v1023.py plus source inspection,PASS,Direct algebraic implementation.
T009-003,1,eq:Uj,_sections/ch1_sec03_center.tex:56,func_U_j,Anode_Fit_v1.0.23.py:95-96,"T,dH_rxn,dS_rxn",U_j,"K,J/mol,J/(mol K),V",U=(-dH+T dS)/F,exact,compileall and round-trip tests,PASS,Direct algebraic implementation.
T009-004,1,eq:wbase,_sections/ch1_sec05_width.tex:269,func_w;GraphiteAnodeDischargeDQDV._n_factor;GraphiteAnodeDischargeDQDV._width,Anode_Fit_v1.0.23.py:91-92;Anode_Fit_v1.0.23.py:360-379;Anode_Fit_v1.0.23.py:382-389,"T,n,n_T1,w",w,"K,dimensionless,V",positive width,exact,test_gates_v1023.py n(T),PASS,n(T) is an additive extension; w-only inputs are treated as T-frozen.
T009-005,1,eq:xieq,_sections/ch1_sec05_width.tex:284,func_ksi_eq,Anode_Fit_v1.0.23.py:99-102,"T,V_n,U,n,s",xi_eq,"K,V,dimensionless",s controls monotone direction,exact,synthetic round-trip and source inspection,PASS,Stable two-branch logistic evaluation.
T009-006,1,eq:eqpeak,_sections/ch1_sec06_eqpeak.tex:28,GraphiteAnodeDischargeDQDV.equilibrium,Anode_Fit_v1.0.23.py:528-545,"V_n,T,transitions,Cbg",dQ/dV,capacity/V,equilibrium branch-neutral,exact,test_gates_v1023.py G1/G2/G3,PASS,"Exact for the declared independent-logistic equilibrium model, not evidence that the model captures all physical interactions."
T009-007,1,eq:dUhys,_sections/ch1_sec04_hys.tex:105,func_dU_hys,Anode_Fit_v1.0.23.py:200-207,"T,Omega",Delta U_hys,"K,J/mol,V",nonnegative gap; zero for Omega<=2RT,exact,test_gates_v1023.py G2,PASS,Code matches the regular-solution spinodal expression.
T009-008,1,eq:Ubranch,_sections/ch1_sec04_hys.tex:241,func_U_branch,Anode_Fit_v1.0.23.py:210-214,"T,U_j,Omega,gamma,sigma_d,h_eta",U_branch,V,symmetric +/- branch shift,exact,test_gates_v1023.py G2,PASS,Phenomenological gamma and h_eta remain fitting inputs.
T009-009,1,eq:chid;eq:dHeff,_sections/ch1_sec08_lag.tex:62;_sections/ch1_sec08_lag.tex:74,func_chi_d;func_dH_a_eff;GraphiteAnodeDischargeDQDV._chi_and_dH_eff,Anode_Fit_v1.0.23.py:224-229;Anode_Fit_v1.0.23.py:218-221;Anode_Fit_v1.0.23.py:457-464,"chi,sigma_d,dH_a,Omega","chi_d,dH_a_eff","dimensionless,J/mol",charge mirror chi->1-chi,exact,source inspection,PASS,Exact document-to-code mapping; physical partition rule remains phenomenological.
T009-010,1,eq:Lqfull;eq:LV,_sections/ch1_sec08_lag.tex:118;_sections/ch1_sec08_lag.tex:126,func_L_q;GraphiteAnodeDischargeDQDV._resolve_lag_length,Anode_Fit_v1.0.23.py:105-112;Anode_Fit_v1.0.23.py:481-525,"T,I,Q_cell,dH_a,dS_a,chi_d,A,dVdq_qa","L_q,L_V","capacity,V",positive for I>0,conditional,probe_ch1_time_unit_invariance.py,DEFECT,"Algebra matches the document, but the public C-rate facade supplies I/Q_cell in h^-1 to a seconds-based h/kB attempt-frequency chain."
