symbol,kind,owner,visibility,line_start,line_end,signature,direct_calls,docstring_first_line,source_sha256
func_w,function,,public,91,92,"(T: ScalarOrArray, n: float = 1.0) -> ScalarOrArray",,,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_U_j,function,,public,95,96,"(T: ScalarOrArray, dH_rxn: float, dS_rxn: float) -> ScalarOrArray",,,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_ksi_eq,function,,public,99,102,"(T: ScalarOrArray, V_n: ScalarOrArray, U: ScalarOrArray, n: float = 1.0, s: int = 1) -> ScalarOrArray",exp;func_w;where,,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_L_q,function,,public,105,112,"(T: float, I: float, Q_cell: float, dH_a: float, dS_a: float, x: float, A: float) -> float",exp;log,,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
_causal_memory_pointwise,function,,private,115,143,"(V_prog: np.ndarray, ksi_eq: np.ndarray, lag_length: float) -> np.ndarray",abs;empty;exp;float;range,인과 기억 적분 ξ_lag(V)=(1/L_V)∫ ξ_eq(u) e^{−(V−u)/L_V} du 의 점별 평가(Ch1 eq:lag).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
_causal_memory_ratio,function,,private,146,177,"(V_prog: np.ndarray, ksi_eq: np.ndarray, ksi_lag0: np.ndarray, lag_length: float, g_eff: float)",abs;asarray;empty;exp;float;range,"1차 ratio 보정 인과 기억(부록 E.2 sec:sc-ratio, eq:sc-ratio-local) — 선택적 고정밀 경로.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
transfer_apparent_from_equilibrium,function,,public,180,195,"(V_uniform: np.ndarray, peak_eq: np.ndarray, lag_length: float) -> np.ndarray",asarray;fft;fftfreq;float;ifft;real,"전달함수 저역통과(부록 E.5 sec:sc-transfer, eq:sc-transfer) — 동결 0차의 주파수영역 등가.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_dU_hys,function,,public,200,207,"(T: float, Omega: float) -> float",arctanh;float;sqrt,spinodal 상한 분기 gap ΔU_hys [V] (eq:dUhys).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_U_branch,function,,public,210,214,"(T: float, U_j: float, Omega: float, gamma: float, sigma_d: int, h_eta: float = 1.0) -> float",float;func_dU_hys,분기 중심 U_j^d = U_j + ½·σ_d·h_η·γ·ΔU_hys (eq:Ubranch).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_dH_a_eff,function,,public,218,221,"(dH_a: float, Omega: float, chi_d: float) -> float",float,유효 활성화 엔탈피 ΔH_a^eff = ΔH_a − χ_d·Ω (eq:dHeff).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_chi_d,function,,public,224,229,"(chi: float, sigma_d: int) -> float",,"방향별 전달계수 χ_d (eq:chid 합-1): 방전(σ_d≥0) χ_d=χ, 충전 χ_d=1−χ.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
func_dSe_molar,function,,public,236,252,"(x: ScalarOrArray, T: float, g_max_eV: float, x_MIT: float, dx_MIT: float) -> ScalarOrArray",asarray;exp,"부분몰 전자 엔트로피 ΔS_e(x,T) [J/(mol·K)] — MIT 게이트형(Ch1 eq:dSegate;",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
_finite,function,,private,256,261,"(name: str, value: float) -> float",ValueError;float;isfinite,유한성 가드. NaN/±inf 면 ValueError(메시지에 인자명).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
_finite_pos,function,,private,264,269,"(name: str, value: float) -> float",ValueError;_finite,유한 + 양수 가드(>0). 폭·용량·온도 같은 분모/지수 인자용.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
_finite_nonneg,function,,private,272,277,"(name: str, value: float) -> float",ValueError;_finite,유한 + 비음수 가드(≥0). |I|·저항 같은 크기 인자용.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV,class,,public,281,942,,,흑연 음극 dQ/dV 물리 모델 — 충전·방전·온도·C-rate 작동.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.__init__,method,GraphiteAnodeDischargeDQDV,private,314,347,"(self, transitions: List[Dict[str, Any]], x: float = 0.5, Rn: float = 0.0, Cbg: Union[float, Callable] = 0.0, chi: Optional[float] = None, chi_split: Callable[[float, int], float] = func_chi_d, use_dH_eff: bool = True, z_cut: float = 4.357, A_cap_RT: float = 4.0, seed_T: float = 298.15, seed_I: float = 0.1, seed_Q_cell: float = 1.0, lag_ratio_correction: bool = False)",TypeError;_build_seed_L_V;_finite;_finite_nonneg;_finite_pos;bool;callable,,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._build_seed_L_V,method,GraphiteAnodeDischargeDQDV,private,350,357,"(self, T: float, I: float, Q_cell: float) -> List[float]",_n_factor;_resolve_lag_length;append;asarray;float;reshape,전이별 L_V 시작값(seed)을 물리로 계산. 방전(σ_d=+1) 기준.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._n_factor,method,GraphiteAnodeDischargeDQDV,private,360,379,"(self, tr: Dict[str, Any], T: ScalarOrArray) -> ScalarOrArray",ValueError;_finite;asarray;get,"폭 다중도 n (eq:wbase 의 n_j). 'n' 직접, 또는 'w' 에서 n=w·F/(RT) 역산, 없으면 1.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
