"matrix_id","chapter_bibliography","bib_key","bib_file","bib_start_line","bib_end_line","raw_entry","resolved_identifier","identity_status","metadata_title","metadata_first_author_family","metadata_year","metadata_container","identity_manual_review_flags","citation_occurrence_count","citation_source_files","citation_source_lines","citation_contexts","support_statuses","claim_assessment_state","claim_assessment_ids","claim_assessment_severities","claim_assessment_findings","required_corrections"
"REF-001","Ch1","dahn1991","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","6","6","J. R. Dahn, ``Phase diagram of Li$_x$C$_6$,'' \emph{Phys. Rev. B} \textbf{44}, 9170 (1991). DOI: 10.1103/PhysRevB.44.9170.","10.1103/physrevb.44.9170","DOI_METADATA_RETRIEVED","Phase diagram of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Li</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""italic"">x</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">C</mml:mi></mml:mrow><mml:mrow><mml:mn>6</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>","Dahn","1991","Physical Review B","TITLE_LOW_TOKEN_OVERLAP","8","_sections/ch1_sec00_intro.tex || _sections/ch1_sec01_n0n1.tex || _sections/ch1_sec07_broadening.tex || _sections/ch1_sec10_sum.tex || _sections/ch2_sec01_partition.tex || _sections/ch2_sec05_mixing.tex","172 || 24 || 25 || 26 || 28 || 89 || 9 || 92","_sections/ch1_sec00_intro.tex:9 :: 상전이(stage $4\!\to\!3\!\to\!2\mathrm L\!\to\!2\!\to\!1$)를 차례로 거치고 \cite{dahn1991,ohzuku1993}, 각 전이 || _sections/ch1_sec01_n0n1.tex:92 :: 흑연 staging 네 전이의 초기값(문헌 기반\cite{dahn1991,ohzuku1993} --- 값의 확정과 tier 는 || _sections/ch1_sec07_broadening.tex:25 :: plateau 로 지목하는 실제 근거는 실측 plateau$\cdot$staging 상도표의 상평형이다\cite{dahn1991,ohzuku1993} || _sections/ch1_sec10_sum.tex:24 :: 정합 목표. 전위 anchor: $2\!\to\!1$($0.085$ V, Dahn\cite{dahn1991})$\cdot$$2\mathrm || _sections/ch1_sec10_sum.tex:26 :: 보수 분류), $4\!\to\!3$($0.210$ V, Dahn\cite{dahn1991})은 근사 확인(tier B), || _sections/ch1_sec10_sum.tex:28 :: 배치값이다 --- 본 표의 두 anchor 출처\cite{dahn1991,ohzuku1993} 사이에서도 같은 전이의 보고 전위가 || _sections/ch2_sec01_partition.tex:89 :: 문헌이 두-상으로 지목하는 $2\mathrm L\!\to\!2\cdot2\!\to\!1$ \cite{dahn1991,ohzuku1993} --- 문턱 부등식 || _sections/ch2_sec05_mixing.tex:172 :: \cite{dahn1991,ohzuku1993}(Part I 의 staging 초기값$\cdot$post-fit 기준). 문턱은 ``상분리가 가능한가''를, 문헌 상평형은 ``어느 전이가 실제로 두-상","not retrieved","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-001 || SRC-EX-002","High","directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local: _sections/ch1_sec10_sum.tex:24-28; DOI: https://doi.org/10.1103/PhysRevB.44.9170 || directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local: _sections/ch1v22_bib.tex:6 and cited claim locations; DOI: https://doi.org/10.1103/PhysRevB.44.9170","Add a page/figure-level primary-source locator for the stage and plateau assignment or mark it explicitly unverified. || Replace the secondary-source confirmation language with a traceable primary page/figure or label both voltage anchors NOT_VERIFIED."
"REF-002","Ch1","ohzuku1993","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","7","7","T. Ohzuku, Y. Iwakoshi, K. Sawai, ``Formation of Lithium-Graphite Intercalation Compounds in Nonaqueous Electrolytes and Their Application as a Negative Electrode for a Lithium Ion (Shuttlecock) Cell,'' \emph{J. Electrochem. Soc.} \textbf{140}, 2490 (1993). DOI: 10.1149/1.2220849.","10.1149/1.2220849","DOI_METADATA_RETRIEVED","Formation of Lithium‐Graphite Intercalation Compounds in Nonaqueous Electrolytes and Their Application as a Negative Electrode for a Lithium Ion (Shuttlecock) Cell","Ohzuku","1993","Journal of The Electrochemical Society","","8","_sections/ch1_sec00_intro.tex || _sections/ch1_sec01_n0n1.tex || _sections/ch1_sec07_broadening.tex || _sections/ch1_sec10_sum.tex || _sections/ch2_sec01_partition.tex || _sections/ch2_sec05_mixing.tex","172 || 25 || 27 || 28 || 89 || 9 || 92","_sections/ch1_sec00_intro.tex:9 :: 상전이(stage $4\!\to\!3\!\to\!2\mathrm L\!\to\!2\!\to\!1$)를 차례로 거치고 \cite{dahn1991,ohzuku1993}, 각 전이 || _sections/ch1_sec01_n0n1.tex:92 :: 흑연 staging 네 전이의 초기값(문헌 기반\cite{dahn1991,ohzuku1993} --- 값의 확정과 tier 는 || _sections/ch1_sec07_broadening.tex:25 :: plateau 로 지목하는 실제 근거는 실측 plateau$\cdot$staging 상도표의 상평형이다\cite{dahn1991,ohzuku1993} || _sections/ch1_sec10_sum.tex:25 :: L\!\to\!2$($0.120$ V, Ohzuku 등\cite{ohzuku1993})는 보고값과 정확 일치(2차 출처 경유 확인이라 tier B 로 || _sections/ch1_sec10_sum.tex:27 :: $3\!\to\!2\mathrm L$($0.140$ V)는 Ohzuku 보고 $\approx0.125$ V\cite{ohzuku1993} 에서 $15$ mV 떨어진 || _sections/ch1_sec10_sum.tex:28 :: 배치값이다 --- 본 표의 두 anchor 출처\cite{dahn1991,ohzuku1993} 사이에서도 같은 전이의 보고 전위가 || _sections/ch2_sec01_partition.tex:89 :: 문헌이 두-상으로 지목하는 $2\mathrm L\!\to\!2\cdot2\!\to\!1$ \cite{dahn1991,ohzuku1993} --- 문턱 부등식 || _sections/ch2_sec05_mixing.tex:172 :: \cite{dahn1991,ohzuku1993}(Part I 의 staging 초기값$\cdot$post-fit 기준). 문턱은 ``상분리가 가능한가''를, 문헌 상평형은 ``어느 전이가 실제로 두-상","insufficient || partially supports","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-003 || SRC-EX-004","High || Medium","directness=INSUFFICIENT; transferability=SAME_SYSTEM; claim_strength=NOT_VERIFIED; evidence=Local: _sections/ch1_sec10_sum.tex:25-29; official abstract: https://www.osti.gov/biblio/5896110 || directness=PARTIAL; transferability=SAME_SYSTEM; claim_strength=UNDERQUALIFIED; evidence=Local: _sections/ch1_sec07_broadening.tex:21-26; official abstract: https://www.osti.gov/biblio/5896110","Add the original article page/figure containing each voltage or mark the 0.120 V and 0.125 V values as secondary-source, sample-dependent, and NOT_VERIFIED. || Qualify the stage sequence as the subset stated by the abstract and add a full-text page/figure before asserting the complete 4L/3L/2L mapping."
"REF-003","Ch1","bazant2013","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","8","8","M. Z. Bazant, ``Theory of Chemical Kinetics and Charge Transfer based on Nonequilibrium Thermodynamics,'' \emph{Acc. Chem. Res.} \textbf{46}, 1144 (2013). DOI: 10.1021/ar300145c.","10.1021/ar300145c","DOI_METADATA_RETRIEVED","Theory of Chemical Kinetics and Charge Transfer based on Nonequilibrium Thermodynamics","Bazant","2013","Accounts of Chemical Research","","3","_sections/ch1_sec05_width.tex","126 || 131 || 16","_sections/ch1_sec05_width.tex:126 :: Bazant 의 비평형 열역학 전하전달 이론\cite{bazant2013} 이 세운 표준 분해다. 대응은 다음과 같다(왼쪽이 || _sections/ch1_sec05_width.tex:131 :: 본문(식~\eqref{eq:bv},~\eqref{eq:db}) & Bazant\cite{bazant2013} 대응량 \\ || _sections/ch1_sec05_width.tex:16 :: 비대칭 이동시켜(분율 위치 $\chi$ --- 비평형 열역학 기반 전하전달 동역학의 표준 분해\cite{bazant2013}), 자리당 정$\cdot$역 속도가","partially supports","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-005","Medium","directness=PARTIAL; transferability=BOUNDED_TRANSFER; claim_strength=UNDERQUALIFIED; evidence=Local: _sections/ch1_sec05_width.tex:13-20,126-131; full text: https://arxiv.org/abs/1208.1587; DOI: https://doi.org/10.1021/ar300145c","State that the exact symmetric/asymmetric graphite rate law, constant k0, and parameter choices are Ch1 modeling assumptions within Bazant's broader framework."
"REF-004","Ch1","eyring1935","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","9","9","H. Eyring, ``The Activated Complex in Chemical Reactions,'' \emph{J. Chem. Phys.} \textbf{3}, 107 (1935). DOI: 10.1063/1.1749604.","10.1063/1.1749604","DOI_METADATA_RETRIEVED","The Activated Complex in Chemical Reactions","Eyring","1935","The Journal of Chemical Physics","","1","_sections/ch1_sec05_width.tex","15","_sections/ch1_sec05_width.tex:15 :: $k\simeq k_0e^{-\Delta G_a/RT}$ 다(그림~\ref{fig:barrier})\cite{eyring1935}. 구동력 $\mathcal A_j=sF(V_n-U_j)$ 가 정$\cdot$역 장벽을","partially supports","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-006","Low","directness=PARTIAL; transferability=NOT_APPLICABLE; claim_strength=SUPPORTED; evidence=Local: _sections/ch1_sec05_width.tex:13-15; DOI record/abstract: https://doi.org/10.1063/1.1749604","NONE"
"REF-005","Ch1","glasstone1941","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","10","10","S. Glasstone, K. J. Laidler, H. Eyring, \emph{The Theory of Rate Processes: The Kinetics of Chemical Reactions, Viscosity, Diffusion and Electrochemical Phenomena}, McGraw--Hill (1941).","https://search.worldcat.org/title/459357716","IDENTITY_CONFIRMED","","","","","NO_DOI_IN_ENTRY","1","_sections/ch1_sec05_width.tex","82","_sections/ch1_sec05_width.tex:82 :: 다\cite{glasstone1941,mcquarrie1976}. 본문 식~\eqref{eq:bv} 의 활성화 자유에너지 $\Delta G_a$ 를 분배함수로","not retrieved","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-007","Low","directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local bibliography: _sections/ch1v22_bib.tex:10; primary text NOT_RETRIEVED","Retain only as background and add a page-level locator before using it to validate a specific equation or prefactor."
"REF-006","Ch1","laidlerking1983","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","11","11","K. J. Laidler, M. C. King, ``The development of transition-state theory,'' \emph{J. Phys. Chem.} \textbf{87}(15), 2657--2664 (1983). DOI: 10.1021/j100238a002.","10.1021/j100238a002","DOI_METADATA_RETRIEVED","Development of transition-state theory","Laidler","1983","The Journal of Physical Chemistry","","1","_sections/ch1_sec05_width.tex","54","_sections/ch1_sec05_width.tex:54 :: 정방향으로 넘는 궤적은 되돌지 않고 모두 생성물이 된다(투과계수 $\kappa=1$)\cite{laidlerking1983}. 반응좌표","partially supports","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-008","Medium","directness=INSUFFICIENT; transferability=NOT_APPLICABLE; claim_strength=UNDERQUALIFIED; evidence=Local: _sections/ch1_sec05_width.tex:54; DOI: https://doi.org/10.1021/j100238a002","Change kappa=1 from an implied literature fact to an explicit no-recrossing modeling assumption and retain kappa as a possible fitted/uncertain factor."
"REF-007","Ch1","hill1960","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","12","12","T. L. Hill, \emph{An Introduction to Statistical Thermodynamics}, Addison--Wesley (1960); Dover reprint (1986) --- Ch.~7 (국소화 흡착의 대정준 유도, $q(T)$ 와 Langmuir 등온선).","https://search.worldcat.org/title/223840969","IDENTITY_CONFIRMED","","","","","NO_DOI_IN_ENTRY","4","_sections/ch1_sec02a_part0.tex || _sections/ch1_sec02b_part0.tex","157 || 257 || 309 || 401","_sections/ch1_sec02a_part0.tex:157 :: 그대로이고 \cite{hill1960,fowler1939}, 삽입 전극에의 적용 원형은 McKinnon--Haering || _sections/ch1_sec02a_part0.tex:257 :: \cite{hill1960,fowler1939,mcquarrie1976}, $q\equiv1$(내부 자유도 없음)로 두면 || _sections/ch1_sec02b_part0.tex:309 :: --- 독립 부분계 분배함수의 표준 인수분해다 \cite{hill1960,mcquarrie1976}. 근사 경계는 두 겹이다: (i) 클래스 \emph{안}의 이웃 상호작용 $\Omega_j$(\S\ref{sec:sm-mf})는 각 자리가 || _sections/ch1_sec02b_part0.tex:401 :: 소멸의 따름이며 \cite{hill1960,mcquarrie1976}, 이 소절의 반전이 대정준 근 $U_\mathrm{oc}$ 를 정준 관측(고정","not retrieved","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-009","Low","directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local bibliography: _sections/ch1v22_bib.tex:12; primary text NOT_RETRIEVED","Retain as textbook background but add exact page/equation locators before calling it direct support for the document's derivation."
"REF-008","Ch1","fowler1939","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","13","13","R. H. Fowler and E. A. Guggenheim, \emph{Statistical Thermodynamics}, Cambridge Univ. Press (1939) --- 국소화 단분자층 흡착의 통계역학 유도.","https://search.worldcat.org/title/633373918","IDENTITY_CONFIRMED","","","","","NO_DOI_IN_ENTRY","2","_sections/ch1_sec02a_part0.tex","157 || 257","_sections/ch1_sec02a_part0.tex:157 :: 그대로이고 \cite{hill1960,fowler1939}, 삽입 전극에의 적용 원형은 McKinnon--Haering || _sections/ch1_sec02a_part0.tex:257 :: \cite{hill1960,fowler1939,mcquarrie1976}, $q\equiv1$(내부 자유도 없음)로 두면","not retrieved","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-010","Low","directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local bibliography: _sections/ch1v22_bib.tex:13; primary text NOT_RETRIEVED","Retain only as background and add a page/equation locator if the citation is meant to carry the derivation."
"REF-009","Ch1","mcquarrie1976","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","14","14","D. A. McQuarrie, \emph{Statistical Mechanics}, Harper \& Row (1976); Univ. Science Books reprint (2000) --- 독립 부분계 분배함수의 인수분해와 흡착 등온선.","https://search.worldcat.org/title/1529460","IDENTITY_CONFIRMED","","","","","NO_DOI_IN_ENTRY","7","_sections/ch1_sec02a_part0.tex || _sections/ch1_sec02b_part0.tex || _sections/ch1_sec05_width.tex","224 || 230 || 257 || 309 || 369 || 401 || 82","_sections/ch1_sec02a_part0.tex:224 :: 식)로 나온다. 앞이 Fermi--Dirac 분포, 뒤가 Bose--Einstein 분포다 \cite{mcquarrie1976}. 격자 삽입 자리의 || _sections/ch1_sec02a_part0.tex:230 :: 분포)로 적힌다 \cite{mcquarrie1976,ashcroftmermin1976}. || _sections/ch1_sec02a_part0.tex:257 :: \cite{hill1960,fowler1939,mcquarrie1976}, $q\equiv1$(내부 자유도 없음)로 두면 || _sections/ch1_sec02b_part0.tex:309 :: --- 독립 부분계 분배함수의 표준 인수분해다 \cite{hill1960,mcquarrie1976}. 근사 경계는 두 겹이다: (i) 클래스 \emph{안}의 이웃 상호작용 $\Omega_j$(\S\ref{sec:sm-mf})는 각 자리가 || _sections/ch1_sec02b_part0.tex:369 :: \cite{mcquarrie1976}. 유한 $T$ 에서 $0<\theta_j<1$ 라 부등호가 강하고, 결선~\eqref{eq:sm-eqcond}($s{=}+1$)이 || _sections/ch1_sec02b_part0.tex:401 :: 소멸의 따름이며 \cite{hill1960,mcquarrie1976}, 이 소절의 반전이 대정준 근 $U_\mathrm{oc}$ 를 정준 관측(고정 || _sections/ch1_sec05_width.tex:82 :: 다\cite{glasstone1941,mcquarrie1976}. 본문 식~\eqref{eq:bv} 의 활성화 자유에너지 $\Delta G_a$ 를 분배함수로","not retrieved","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-011","Low","directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local bibliography: _sections/ch1v22_bib.tex:14; primary text NOT_RETRIEVED","Add page/equation locators or label these citations as general textbook background rather than claim-level verification."
"REF-010","Ch1","ashcroftmermin1976","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","15","15","N. W. Ashcroft and N. D. Mermin, \emph{Solid State Physics}, Holt, Rinehart and Winston (1976) --- 전자 기체의 Fermi--Dirac 통계와 Sommerfeld 전개(Ch.~2·Appendix C, 장 수준 인용).","https://search.worldcat.org/title/934604","IDENTITY_CONFIRMED","","","","","NO_DOI_IN_ENTRY","1","_sections/ch1_sec02a_part0.tex","230","_sections/ch1_sec02a_part0.tex:230 :: 분포)로 적힌다 \cite{mcquarrie1976,ashcroftmermin1976}.","not retrieved","CLAIM_LEVEL_OVERRIDE_RECORDED","SRC-EX-012","Low","directness=NOT_RETRIEVED; transferability=UNVERIFIED; claim_strength=NOT_VERIFIED; evidence=Local bibliography: _sections/ch1v22_bib.tex:15; primary text NOT_RETRIEVED","Retain as background and add exact page/equation locators before treating it as direct validation of the Ch1 material-specific electronic term."
