finding_id,source_finding_id,chapter,domain,severity,evidence_status,critic_disposition,controlling_location,claim_or_problem,refutation_attempt,calculation_or_primary_evidence,final_judgment,required_correction,code_impact,confidence
"P10-PCM-001","P5-CH1-001","1","C-rate and Eyring time units","Critical","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:105-112,675-705; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex:10-20,50-51; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:54-55","The public facade declares c_rate in 1/h but func_L_q multiplies I/Q_cell directly by h/kB in seconds, so physically equivalent hour and second representations are not invariant.","Tried to rescue the expression by treating Q_cell as coulombs or I/Q as already s^-1; curve explicitly constructs I=c_rate*Q_cell from c_rate in 1/h, so neither interpretation closes the public call chain.","At T=298.15 K the direct pinned-code probe gave L(hour numeric)=2.143847909167498e-7 and L(second corrected)=5.955133081020841e-11; ratio=3599.999999999992 and ln ratio=8.188689124444. h/kB=4.799243073366221e-11 K s.","The dimensional defect and exact factor 3600 are confirmed; this is not a parameter-choice issue.","Choose one canonical API basis. If c_rate remains in 1/h, divide I/Q_cell by 3600 before the Eyring chain and add Ah-versus-coulomb representation-invariance tests.","Required change to func_L_q and the curve/current contract; all resolved finite-rate host and blend paths inherit it.","0.999"
"P10-PCM-002","P5-CH1-002","1","Local detailed balance and self-consistency","Critical","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec08_lag.tex:25-35,65-84,99-118; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:46-64,75-105; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:105-112,146-177","The optional ratio path makes only the forward barrier factor local and omits the local reverse-rate denominator 1+exp[-A_local/(RT)], despite deriving both from one affinity.","Tried to interpret the denominator as legitimately frozen at the deep-tail reference; the full func_L_q ratio and Bazant local forward/reverse formulation require the same local affinity in both factors.","For A_cut/RT=4, chi=0.5, xi=0 and Omega/RT=2,3,4,5, the independently derived implemented-over-complete errors are 13.252803%, 36.663323%, 99.932930%, and 271.782301%. The complete ratio is exp[-chi(A_local-A_ref)](1+exp[-A_ref])/(1+exp[-A_local]).","The advertised thermodynamic self-consistency is false for the implemented reduced closure; the earlier error estimates reproduce exactly.","Re-derive kappa from a single complete local forward/reverse pair, then derive frozen and Picard approximations from that equation; do not patch only the barrier exponential.","Required redesign of _causal_memory_ratio and its oracle tests before the option can be called detailed-balance/self-consistent.","0.998"
"P10-PCM-003","P5-CH1-004","1","Causal state ordering","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:115-143,548-672","Every call seeds xi_lag at the first equilibrium value and sorts by voltage, so incoming state, caller acquisition order, cropped history, and within-call reversal are not represented.","Tried to regard voltage sorting as an explicit monotone-branch API; neither the public facade nor state object carries the required incoming boundary condition, and arbitrary permutations are accepted as identical histories.","Fresh full-versus-cropped solve at a 0.08 V crop gave max state delta 0.148582888 and max peak delta 4.952762931 1/V. A random permutation followed by coordinate restoration gave exactly 0 output difference.","The path is causal only on an artificial monotone coordinate with a reset boundary; it is not a causal acquisition-history implementation.","Expose incoming xi_lag/state, preserve acquisition order, require or segment monotone branches, and define reset and reversal semantics.","Required stateful dynamic API/test change; equilibrium evaluation can remain stateless.","0.999"
"P10-PCM-004","P5-CH1-005","1","Approximation certificate","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:99-105,136-172; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/test_gates_v1023_selfconsistent.py:60-88","epsilon is presented as an accuracy/safety certificate, but the gate compares Picard iterates generated by the same reduced update and has no independent nonlinear reference or bound.","Tried to falsify the finding with an independent DOP853 solve of the stated nonlinear ODE. The first correction does improve the frozen path in the checked small regime, but that conditional success does not produce a certificate.","At epsilon=0.25 the oracle-normalized peak Linf errors were 0.527921062 frozen and 0.296288317 corrected. At epsilon=1 they were 2.208775097 and 2.615123698, so the correction was worse. The shipped same-model suite still reports 5/5 PASS.","epsilon is a heuristic regime indicator, not an error certificate; same-model convergence is not independent validation.","Rename the claim, calibrate tolerances against an independently converged IVP/Volterra oracle, report norms and grid/tolerance convergence, and provide a direct-solve fallback.","Validation and wording changes are required; optional nonlinear fallback is needed outside a calibrated tolerance.","0.995"
"P10-PCM-005","P5-CH1-006","1","Implicit thermal derivative","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:360-404,719-916","With neither n nor w, _width uses n=1 and w=RT/F while _dwdT returns zero by treating that default like an explicit temperature-frozen w.","Tried to interpret the default as frozen width; the documented and executed _width branch changes with T and has derivative R/F.","Direct width finite difference is 8.616883453126e-5 V/K versus _dwdT=0 and R/F=8.616883453387e-5. The independent end-to-end x_bar=0.25 probe reproduced analytic-minus-finite-difference=9.466614053766e-5 V/K for implicit default and 1.850094784404e-14 for explicit n=1.","The public transition default contains a real analytic-derivative bug; shipped data avoid it only because they specify n.","Separate no-key default from explicit w-only: return R/F for the former or reject the implicit default; test no-key, explicit-w, and explicit-n branches.","Localized required code/test correction in _dwdT and entropy paths.","0.999"
"P10-PCM-006","P5-CH1-007","1","Particle-size distribution and transport","High","근거 미발견","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:231-313","The chapter turns a conditional thermodynamic small-shift estimate into a broad claim that micron-graphite PSD dynamics are negligible and the PSD integral is effectively identity.","Tried to refute with the cited thermodynamic bound and fast-diffusion argument. The static Gibbs-Thomson estimate is dimensionally valid, but it does not bound finite-current diffusion-time dispersion.","tau=r^2/(pi^2 D) gives 633.257-25330.296 s at r=5 um for D=4e-15 to 1e-16 m2/s, and tau(15 um)/tau(1 um)=225. Ferguson-Bazant explicitly models PSD-dependent voltage and dynamics; Park uses 1200 s pulses and 2400 s relaxation.","Static size shifts may be small under stated assumptions, but universal dynamic negligibility is unsupported and contradicted by the available timescale comparison.","Retain PSD omission as an explicit prior with radius, diffusivity, protocol, and uncertainty; require multi-rate or particle-resolved sensitivity before claiming insignificance.","Documentation/model-scope correction required; distributed lag is needed only if the stronger dynamic claim is retained.","0.94"
"P10-PCM-007","P5-CH1-008","1","Finite-mixture identifiability","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:287-313; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:104-129; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:527-705","The text warns against nonparametric rho inversion but does not establish structural or practical identifiability of its own finite reaction mixture.","Tried to use fixed reaction count and area constraints as identification; identical kernels still admit arbitrary capacity exchange and near-overlap remains ill-conditioned.","Two capacity-Jacobian columns at identical U,w have exact rank 1; numerical singular values were 4.082482880e2 and 1.739280964e-13. Condition number was 17.89389417 at 5 mV separation and 1.134724777 at 100 mV.","Only aggregate capacity is identifiable for coincident components; fitted component-level physics is not unique without additional data or constraints.","Add Jacobian SVD/rank, profiles or posterior correlations, merge indistinguishable reactions, and use multi-T, multi-rate, and branch data for separation.","Forward model is deterministic; fitting diagnostics and interpretation contracts require change.","0.997"
"P10-PCM-008","P5-CH1-010","1","Graphite staging voltage provenance","High","미검증","UNRESOLVED","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:24-29; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:6-7; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1023-1056","Exact 0.085, 0.120, 0.125/0.140, and 0.210 V source anchors are used without a fully retrieved primary passage for every attribution.","Tried to confirm them from Dahn, Park, and Ohzuku. Dahn confirms the 4 to 3 to 2L to 2 to 1 sequence; Park shows specimen plateaus near 0.22, 0.12, and 0.08 V; the local Ohzuku file is HTML mislabeled as PDF and the full primary article was not retrieved.","The sequence and approximate specimen scales are supported, but no inspected primary page fixes all exact values and assignments under one protocol.","The exact-anchor claim remains unresolved rather than disproved; equation-level/default provenance is 미검증.","Label the values as sample-dependent initialization priors with uncertainty unless exact primary figure/page/protocol locators are supplied.","Metadata/document correction now; numeric default changes are conditional on source adjudication.","0.86"
"P10-PCM-009","P5-CH1-011","1","Activation-barrier provenance","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:45-53; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1023-1056","The text says the 48 to 40 kJ/mol initialization decreases toward full lithiation in agreement with Persson DFT.","Tried to rescue the comparison by treating the model values as effective Eyring barriers rather than hop barriers. That blocks direct comparability but cannot reverse what the cited source reports.","Full Persson primary text reports about 218 meV in dilute/stage-II conditions and 283-297 meV at high local Li, with diffusivity decreasing as Li content rises. The source trend is opposite to the prose.","The Persson attribution is incorrect; the model values may remain only as unsupported fit starts, not DFT-matched barriers.","Delete the trend attribution or replace it with a source measuring the same effective process and state coordinate.","Documentation/default provenance correction; no forced numeric change absent a comparable calibration.","0.999"
"P10-PCM-010","P5-CH1-012","1","K-graphite to Li-graphite transfer","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:13-26; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:25","A potassium-intercalated graphite paper is load-bearing evidence for classifying specified lithium-graphite transitions as continuous.","Tried to accept it as a universality-class analogy; the primary Onuma article is explicitly K-graphite and discusses Li staging only comparatively, so it cannot directly establish the detailed Li phase classification.","Primary source identity is unambiguous: DOI 10.1039/D0TA12607A studies KC8/KCx. The document's tier-B disclosure reduces concealment but not transfer risk.","The material-transfer analogy is real and cannot carry the claimed Li-specific phase rule by itself.","Use a fully read Li-graphite diffraction/thermodynamic primary source for the classification and retain Onuma only as labeled comparison.","Citation/document correction; code changes only if direct Li evidence changes reaction classes.","0.98"
