"source_id","track","bibliographic_identity","publication_date","doi_or_official_url","theory_type","material_regime","full_text_status","exact_locator","gap_ids","proposed_role","target_section","transfer_risk","worker_disposition","parent_disposition","confidence"
"CH1-RT-001","CH1","Cordoba, Chandesris, and Plapp, Spinodal decomposition and domain coarsening in a multilayer Cahn-Hilliard model for lithium intercalation in graphite, Physical Review E 109, 024132 (2024)","2024-02-26","https://doi.org/10.1103/PhysRevE.109.024132","multilayer Cahn-Hilliard; linear stability; domain coarsening","Li_xC6 multilayer model; 298 K phase-fraction example; compositions including c=0.2, 0.3, and 0.5; no surface reaction/current","READ_FULL: all 15 pages of arXiv:2401.13108 corresponding to peer-reviewed article","pp.3-4 Eqs.1-4 and 8; pp.4-5 Fig.2; pp.7-8 Eqs.27-37; p.10 Fig.5; p.11 Fig.6; p.12 Fig.7; p.13 Fig.8 and Discussion; pp.13-14 limitations","CH1-GAP-FT-STAGE;CH1-GAP-PHASE-DYN","model correction; competing model; validity boundary","Chapter 1 staging thermodynamics and phase-transition kinetics","Six-gallery geometry; enlarged gradient coefficient about 3e-6 J m^-1 versus expected order 1e-10; no surface reaction; not a calibrated universal OCV law","ADOPT_WITH_MODIFICATION","ADOPT_WITH_MODIFICATION","high"
"CH1-RT-002","CH1","Borghed, Bian, Huang, and Wik, Estimating the graphite electrode phase evolution from electrode potential measurements, Materials & Design 266, 116218 (2026)","2026-05-12 online; June 2026 issue","https://doi.org/10.1016/j.matdes.2026.116218","ICA knee-point phase integration; logit-normal kernel-density inverse model; sensitivity analysis","25 C; simulations C/40-C/5; experiments C/60-1C; constant-current lithiation","READ_FULL: all 18 pages of repository version of record","p.3 Fig.2; p.4 Eq.3 and Table 2; pp.5-6 Eqs.6-11; p.7 Fig.6 and Table 3; pp.7-8 Figs.7-8 and Table 4; pp.8-10 Figs.9-12 and Table 5; p.11 Fig.A2; p.12 Figs.A4-A6","CH1-GAP-HET-TRANS;CH1-GAP-ICA-FWD;CH1-GAP-IDENT","model correction; validity boundary; parameter prior","Chapter 1 ICA/DVA forward model, broadening, and inversion limits","Reaction-limited single-particle reference neglects electrolyte and temperature dynamics; coarse phase grouping; kernel sigma is confounded by SOC alignment, noise, and model mismatch; high-rate transfer degrades","ADOPT_WITH_MODIFICATION","ADOPT_WITH_MODIFICATION","high"
"CH1-RT-003","CH1","Huang, Zhu, Wik, Finegan, Li, and Zou, BMINN: Learning chemical potentials and parameters from voltage data for multi-phase battery modeling, Energy Storage Materials 86, 104997 (2026)","2026-02-24 online; March 2026 issue","https://doi.org/10.1016/j.ensm.2026.104997","Bayesian model-integrated neural network; physics-constrained chemical-potential and Gibbs-landscape inference","25 C; graphite C/40 charge-discharge training; C/20 operando-XRD comparison; multiphase reaction-limited and phase-field formulations","READ_FULL: all 26 pages of ChemRxiv preprint; final open-access version identity and substantive figure mapping checked, but final equation pagination not read end to end","ChemRxiv pp.6-8 Fig.2; pp.8-9 Fig.3; pp.9-11 Fig.4; pp.14-19 Eqs.1-14; pp.20-21 IC/DV future-work discussion; final VOR Figs.2-5 mapped to pp.3-6","CH1-GAP-FT-STAGE;CH1-GAP-PHASE-DYN;CH1-GAP-ICA-FWD;CH1-GAP-IDENT","competing model; model correction; future work","Chapter 1 chemical potential, metastability, hysteresis, and uncertainty quantification","Inverse landscape depends on embedded model class, priors, and voltage-data informativeness; not a proof of unique ICA component decomposition; quote final-paper equation numbers only after VOR pagination check","ADOPT_WITH_MODIFICATION","ADOPT_WITH_MODIFICATION","high"
"CH1-RT-004","CH1","Jamnuch and Pascal, Electronic signatures of Lorentzian dynamics and charge fluctuations in lithiated graphite structures, Nature Communications 14, 2291 (2023)","2023-04-21","https://doi.org/10.1038/s41467-023-37857-3","finite-temperature ab initio molecular dynamics; two-phase thermodynamic entropy analysis","graphite, LiC6, LiC12, and LiC18; 298 K; no electrochemical rate","READ_FULL: all 7 pages of open-access version of record","pp.1-2 Fig.1; pp.3-4 Fig.4a with stage-resolved Li entropy; Methods from p.4 with PBE-D3, 0.5 fs, 2 ps NPT plus at least 10 ps NVT, and 2PT velocity-autocorrelation treatment","CH1-GAP-FT-STAGE;CH1-GAP-ENTROPY","model correction; validity boundary","Chapter 1 finite-temperature graphite thermodynamics and entropy","Atomistic entropy relative to Li metal is not directly the electrode entropy coefficient dU/dT; short AIMD cells/trajectories and ideal crystalline stages do not include porous-electrode heterogeneity","ADOPT_WITH_MODIFICATION","ADOPT_WITH_MODIFICATION","high"
"CH1-RT-005","CH1","Paul, Wolfe, Verbrugge, Koch, Lowe, Trembly, Staser, and Garrick, Quantifying the Temperature Dependence of the Multi-Species, Multi-Reaction Model: Part II. Estimation of Entropy Coefficient for Meso-Carbon Micro-Bead Graphite, Journal of The Electrochemical Society 171, 103505 (2024)","2024-10-07","https://doi.org/10.1149/1945-7111/ad70d9","temperature-dependent multi-species multi-reaction thermodynamic fit; entropy-coefficient estimation","MCMB Li_xC6; 15, 25, 30, and 35 C; potentiometric equilibrium points at 5% state-of-lithiation increments","full article available; targeted claim-level inspection, not page-complete READ_FULL","Eqs.7-13; Fig.1 measured entropy coefficient; Fig.7 comparison of three methods; Fig.8 reconstructed OCV versus temperature; Fig.9 and Results/Discussion on narrow-gallery artifacts and mismatch above about 70% lithiation","CH1-GAP-ENTROPY;CH1-GAP-FT-STAGE","parameter prior; model correction; validity boundary","Chapter 1 entropy coefficient and temperature-dependent OCV","MCMB-specific; 15-35 C window; potentiometric spacing can miss narrow features; MSMR gallery-width choices can generate nonphysical steepness/wiggles; high-lithiation trend mismatch","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","high"
"CH1-RT-006","CH1","Agrawal and Bai, Dynamic interplay between phase transformation instabilities and reaction heterogeneities in particulate intercalation electrodes, Cell Reports Physical Science 3, 100854 (2022)","2022-05-18","https://doi.org/10.1016/j.xcrp.2022.100854","phase-field porous-electrode model; many-particle dynamics; operando model comparison","flake-like graphite; 0.1C and 1C principal comparisons; 200-particle lognormal population in MPET","full publisher HTML available; targeted equation/model/figure inspection, not page-complete READ_FULL","Eq.1 phase-field chemical potential; model/method section; Fig.4 for 0.1C mosaic versus 1C extended solid-solution response; Fig.5 phase-boundary-length comparison","CH1-GAP-PHASE-DYN;CH1-GAP-HET-TRANS;CH1-GAP-ICA-FWD","model correction; validity boundary","Chapter 1 mosaic transformation, rate dependence, and porous-electrode broadening","Outcome depends on concentration-dependent exchange current and modeled particle population; operando optical field and graphite morphology are not universal; does not directly output an ICA deconvolution","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","high"
"CH1-RT-007","CH1","Schmitt, Kube, Wagner, and Friedrich, Understanding the Influence of Temperature on Phase Evolution during Lithium-Graphite (De-)Intercalation Processes: An Operando X-ray Diffraction Study, ChemElectroChem 9, e202101342 (2022)","2021-11-18 version of record online; 2022-01-18 issue online","https://doi.org/10.1002/celc.202101342","operando XRD phase-evolution boundary study; experimental comparison to staging models","graphite at 0, 25, and 43 C; C/20; lithiation and delithiation","full open publisher HTML available; targeted figure/results inspection, not page-complete READ_FULL","Fig.1 staging scheme; Fig.2 C/20 at 25 C; Fig.3 C/20 at 0 C with no stage 2L and greater coexistence; Fig.4 C/20 at 43 C with more pronounced delithiation stage 2L; Results and Discussion","CH1-GAP-FT-STAGE;CH1-GAP-PHASE-DYN;CH1-GAP-ENTROPY;CH1-GAP-ICA-FWD","validity boundary","Chapter 1 temperature- and direction-dependent staging assignments","Experimental rather than theoretical; high areal loading and electrode transport contribute to coexistence; graphite/electrode morphology and SEI can alter phase evolution","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","high"
"CH1-RT-008","CH1","Dubarry and Ansean, Best practices for incremental capacity analysis, Frontiers in Energy Research 10, 1023555 (2022)","2022-10-03","https://doi.org/10.3389/fenrg.2022.1023555","ICA preprocessing and interpretation methods article","graphite-containing and other Li-ion cells; recommends controlled low-rate constant-current reference, typically C/25; chemistry-dependent interpretation","full open publisher HTML/PDF indexed; targeted Sections 1-5 and Table 2 inspection; 2023 Figure 13 corrigendum checked","Table 2 best practices: environmental/procedural consistency, C/25 reference, approximately 1-2 mV or about 2000 points per step, fixed-step filtering, and distortion check; Conclusion; 2023 corrigendum to Figure 13","CH1-GAP-ICA-FWD;CH1-GAP-HET-TRANS","validity boundary; parameter prior","Chapter 1 derivative computation, filtering, provenance, and sensitivity controls","Secondary methods evidence, not direct graphite theory; chemistry-wide examples must not be transferred wholesale; original Figure 13 requires the corrigendum","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","medium-high"
"CH1-RT-009","CH1","Rykner and Chandesris, Free Energy Model for Lithium Intercalation in Graphite: Focusing on the Coupling with Graphene Stacking Sequence, Journal of Physical Chemistry C 126, 5457-5472 (2022)","2022-03-21","https://doi.org/10.1021/acs.jpcc.1c10800","multilayer mean-field free energy; stacking order parameter; coupled Cahn-Hilliard and Allen-Cahn dynamics","Li_xC6 stages 1-prime, 3L, 2L, 2, and 1; finite-temperature parameterization; exact temperature/rate grid pending full text","abstract and HAL/publisher metadata only; full equation-level text not obtained","publisher abstract and bibliographic record only; retrieve pp.5457-5472 for exact free-energy, stacking-order, and parameter equations before claim-level use","CH1-GAP-FT-STAGE;CH1-GAP-PHASE-DYN","competing model; model correction","Chapter 1 stacking-coupled staging thermodynamics","Closed/full text not adjudicated at equation level; parameters and stage labels may be model-specific; no numerical transfer until exact definitions and calibration are checked","RETRIEVE","RETRIEVE","high"
"CH1-RT-010","CH1","Weng et al., Localized-domains staging structure and evolution in lithiated graphite, Carbon Energy 5, e224 (2023 issue; VOR 2022)","2022-06-02 version of record online","https://doi.org/10.1002/cey2.224","cryo-TEM/XRD staging mechanism with DFT formation energies and high-temperature AIMD","KS6 graphite at 20 mA g^-1; Li_xC6 x=0, 1/4, 1/3, 1/2, 1 DFT; AIMD 1000 K diffusion and 1500 K structural evolution","open full text identified; targeted Sections 1, 2.1, and 2.3 plus figure index inspected, not page-complete READ_FULL","Fig.1 compares Rudorff-Hofmann, Daumas-Herold, and localized-domain models; Section 2.3 Eq.1 formation energy; Figs.2-6 phase evolution, local domains, defects, and AIMD paths","CH1-GAP-FT-STAGE;CH1-GAP-PHASE-DYN;CH1-GAP-HET-TRANS","competing model; validity boundary","Chapter 1 staging structure, nucleation/domain interpretation, and defect sensitivity","Predominantly experimental; DFT is 0 K and AIMD temperatures are far above battery operation; etched/KS6 morphology and defects limit transfer; full figure-level read required","RETRIEVE","RETRIEVE","medium-high"
