critic_id,source_finding_or_record,domain,chapter_or_version,severity,evidence_status,critic_disposition,controlling_location,claim_or_problem,refutation_attempt,verified_source_or_artifact_evidence,final_judgment,required_action_or_integration_role,adoption_risk_or_code_impact,confidence
"P10-H001","LINEAGE-RC-01","VERSION_HISTORY","v1.0.22-v1.0.23","High","확정","MODIFY","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:211; Codex/results/phase003_lineage_falsification.csv:75","The release-control claim used whole-document byte identity as shorthand for no scientific change.","Compared both master roots; mechanically compared all 17 Chapter 2 and 8 Chapter 3 included section bodies byte-for-byte; compared normalized PDF scientific text.","The roots and PDFs differ in wrappers and metadata, but every included Chapter 2/3 section body is byte-identical and normalized scientific text is equivalent.","The no-content-change conclusion survives only in the precise form: included Chapter 2/3 scientific bodies are unchanged; whole artifacts are not byte-identical.","Record section-body identity and normalized-science equivalence separately; never report whole-root or PDF byte identity.","Imprecise wording can hide release packaging changes while overstating the strength of the scientific comparison.","0.999"
"P10-H002","LINEAGE-RC-02","VERSION_HISTORY","v1.0.23","High","확정","AFFIRM","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:213; Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/results/V1023_REFERENCE_LEDGER.md:1","The v1.0.23 reference ledger was claimed current.","Compared it against the v1.0.22 ledger and the final Chapter 2/3 bibliography keys.","The v1.0.23 ledger is a stale carryover and omits lee2017jcp, lee2011jcp, and son2013jcp despite their final-source use.","The release-control blocker is affirmed.","Regenerate the ledger from final source citations and reconcile all three omitted keys before release claims.","A stale ledger breaks bibliographic traceability but does not itself prove a scientific-text change.","0.999"
"P10-H003","LINEAGE-RC-03","VERSION_HISTORY","v1.0.23","Medium","확정","MODIFY","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:215; Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/appendix_phase_separation.tex:1","The phase-separation appendix PDF was expected as a release artifact but is absent.","Verified the TeX source remains present and searched the snapshot for the corresponding PDF.","appendix_phase_separation.tex exists; appendix_phase_separation.pdf does not.","Affirm the artifact omission but modify its consequence: it is a packaging/release blocker, not evidence of lost appendix science.","Restore the PDF or record an explicit release waiver and build instruction.","Readers may lack the promised compiled appendix; the source remains recoverable.","0.998"
"P10-H004","LINEAGE-RC-04","VERSION_HISTORY","v1.0.10-v1.0.11","High","확정","AFFIRM","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:52; Codex/results/phase003_lineage_falsification.csv:2","v1.0.11 was described both as a scientific no-op and as a literal package clone.","Compared both 851-line Python files and scientific text assets; inventoried removed package/process files.","Scientific code/text are unchanged, but eight package/process assets were dropped.","Affirm scientific no-op; reject literal-package-clone wording.","State scientific no-op and package delta as two separate lineage facts.","Conflating science and packaging corrupts provenance and release reconstruction.","0.999"
"P10-H005","LINEAGE-RC-05","VERSION_HISTORY","v1.0.23","High","확정","AFFIRM","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:219; Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/results/HANDOVER_v23.md:1","The v1.0.23 handover, fitting guide, and Chapter 3 prose were treated as current release documentation.","Cross-read the handover against CURVE_QA_v23.md, read FITTING_GUIDE.md end-to-end, and searched Chapter 3 for future-tense implementation claims.","The handover says QA is planned although QA evidence exists; FITTING_GUIDE retains v1.0.20/v1.0.19 paths; Chapter 3 retains future-tense code language.","All three stale-documentation blockers are affirmed.","Synchronize handover QA state, update guide versions/paths, and convert future-tense Chapter 3 implementation prose to present scope or explicit nonimplementation.","Operator error and false release-state claims; no direct change to numerical output.","0.999"
"P10-H006","LINEAGE-MODEL-20","VERSION_HISTORY","v1.0.19-v1.0.20","Info","확정","AFFIRM","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:101; Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.20/plans/2026-07-16-v1020-master-plan.md:1","v1.0.20 may have been a new scientific implementation.","Compared the 1151/1152-line Python artifacts by abstract syntax tree and read the controlling plan and handover.","The Python abstract syntax trees are identical; the plan bounds v1.0.20 to quality/documentation work.","The no-new-scientific-implementation conclusion is affirmed.","Attribute v1.0.20 to bounded documentation/quality integration, not model authorship.","Over-attribution distorts version provenance only.","0.999"
"P10-H007","LINEAGE-MODEL-21","VERSION_HISTORY","v1.0.21","Medium","확정","MODIFY","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:115; Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/plans/2026-07-16-v1021-master-plan.md:1","Fable was alternately credited with an independent Chapter 3 release or denied substantive authorship.","Read the complete v1.0.21 plan, ledger, handover, and 497-line phase-separation appendix source; traced Q2-Q10 dispositions.","Fable was the solo integrator for Q2-Q7 and authored a preliminary Chapter 3 appendix; Q9/Q10 were superseded by v1.0.22 rather than completed in v1.0.21.","Modify attribution to bounded Fable authorship/integration; reject the claim of an independently completed Chapter 3.","Record Q2-Q7 integration and the preliminary appendix separately from the later Chapter 3 volume.","Model identity is provenance only and confers no scientific authority.","0.995"
"P10-H008","LINEAGE-MODEL-22","VERSION_HISTORY","v1.0.22","Medium","확정","MODIFY","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:128; Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.22/results/comp_R5/CHERRYPICK_R5.md:1","Fable was credited as sole author of the v1.0.22 Chapter 3 draft stream.","Compared the complete W1/W2/W3 design notes and section drafts to the final Chapter 3 files and read the R5 selector records.","Final sections preserve large exact spans from Opus-primary streams: map W3 114/119, cases W2 85/153, blend W1 130/248, mechanics W1 87/94, code W3 44/62, notation W3 24/41; Fable selected and integrated.","Modify attribution to Opus-primary drafting plus Fable selection/integration.","Preserve per-section stream provenance; do not infer correctness from author/model identity.","Incorrect authorship obscures source lineage but does not decide scientific validity.","0.999"
"P10-H009","LINEAGE-PROVENANCE-ONLY","VERSION_HISTORY","v1.0.20-v1.0.23","Info","확정","AFFIRM","Codex/results/PHASE_003_V1010_V1023_LINEAGE_AUDIT_RESULT.md:180","Model identity was implicitly usable as an evidence-quality signal.","Tried to correlate model identity with independently verified source defects and code-fidelity defects.","Confirmed defects occur across Fable-integrated and Opus-primary material; no model label establishes claim validity.","Model identity is provenance only.","Keep authorship in lineage records and adjudicate every scientific claim against artifacts and sources.","Authority-by-model would convert provenance metadata into invalid evidence.","0.999"
"P10-E001","REF-001","LITERATURE_EXISTING","Ch1","High","근거 미발견","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:2","Dahn 1991 is used for stage sequence, plateau assignment, and 0.085/0.210 V anchors without a retrieved page or figure.","Sought a direct primary locator and tested whether DOI metadata could carry the values.","Only bibliographic identity is verified at https://doi.org/10.1103/PhysRevB.44.9170; metadata cannot establish stage-specific voltages.","The support defect is affirmed.","Add page/figure-level primary evidence or mark each stage/voltage anchor unverified and sample-dependent.","Unverified anchors can hard-code incorrect initial centers and apparent validation targets.","0.995"
"P10-E002","REF-002","LITERATURE_EXISTING","Ch1","High","미결","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:3","Ohzuku 1993 is used for 0.120/0.125 V and a fuller staging map than retrieved evidence supports.","Tested abstract-level content against every imported stage and voltage.","Identity is verified at https://doi.org/10.1149/1.2220849; the accessible evidence supports only part of the staging account and not all numerical anchors.","The defect is affirmed; exact numerical support remains unresolved.","Retrieve the original page/figure or label the values secondary, sample-dependent, and unverified.","Potentially shifts initialization and stage labels.","0.985"
"P10-E003","REF-012","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:13","Dreyer 2010 is used as if it derives the chapter's exact regular-solution gap equation.","Compared the source role with the chapter's own algebraic construction.","https://doi.org/10.1038/nmat2730 supports metastability/hysteresis concepts, not equation-level identity with the displayed formula.","The equation-level transfer is insufficient.","Retain as conceptual analogy and identify the formula as the chapter's construction or cite an exact derivation.","Equation authority is overstated; algebra may still be internally valid.","0.995"
"P10-E004","REF-013","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:14","Dreyer 2011 is used for exact formula equivalence.","Compared source scope to the specific spinodal-gap construction.","https://doi.org/10.1007/s00161-010-0178-1 supports the thermodynamic correspondence but not the exact chapter equation.","The defect is affirmed.","Downgrade to conceptual correspondence and separately derive or source the formula.","Overclaim affects provenance, not the arithmetic transcription.","0.995"
"P10-E005","REF-014","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:15","Bloom 2005 is cited as an incremental-capacity-analysis source.","Checked the observable named in the bibliographic record.","https://doi.org/10.1016/j.jpowsour.2004.07.021 is differential-voltage analysis, dV/dQ, not a primary dQ/dV incremental-capacity source.","Misattribution is affirmed.","Cite Bloom only for DVA and add a primary ICA source; Dubarry-Anseán may supply method guardrails, not graphite phase physics.","Observable inversion can reverse interpretation and units.","0.999"
"P10-E006","REF-020","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:21","A potassium-graphite paper is used as load-bearing lithium-graphite evidence.","Checked material identity and transferability.","https://doi.org/10.1039/D0TA12607A concerns K-graphite; no direct Li-graphite claim follows.","Material misattribution is affirmed.","Replace with direct Li-graphite operando/thermodynamic evidence or label it only as a K comparison.","Cross-chemistry transfer can corrupt stage assignments.","0.999"
"P10-E007","REF-021","LITERATURE_EXISTING","Ch1","High","미검증","UNRESOLVED","Codex/results/phase004_existing_reference_claim_matrix.csv:22","Fly 2020 is used to support rate dependence, the exponential memory kernel, and zero-current disappearance without primary-text retrieval.","Attempted to separate generic rate dependence from the chapter's exact kernel and scaling.","Identity is verified at https://doi.org/10.1016/j.est.2020.101329; primary claim-level text was not retrieved.","Generic relevance is plausible, but exact model support is unresolved.","Use only as an unverified qualitative candidate until full text is read; label L_V proportional to |I| and the kernel as model hypotheses.","A fitted kernel could be mistaken for source-derived kinetics.","0.970"
"P10-E008","REF-025","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:26","Persson 2010 is cited for a decreasing activation-energy trend.","Checked whether the paper explicitly reports that trend on a comparable basis.","https://doi.org/10.1021/jz100188d does not establish the claimed decreasing sequence.","Insufficient support is affirmed.","Remove the citation from that sentence or supply a direct comparable source.","Unsupported priors bias kinetic fitting.","0.995"
