chapter,dimension,terra_score_0_5,sol_score_0_5,terra_status,sol_status,agreement,controlling_evidence,adjudicated_judgment,required_change,confidence
"Chapter 1","textbook_prerequisite_order","2","4","확정","확정","REJECT","ch1_sec00_intro.tex:14-28; ch1_sec02a_part0.tex:4-18; ch1_sec02b_part0.tex:282-335; 2026-07-17-v1022-master-plan.md:8-14,34-45","Terra conflates a navigation cost with prerequisite failure. Part 0 is the declared common foundation and derives the charge-balance and equilibrium relations used later in all three chapters; moving it wholesale behind those uses would reverse the rigorous dependency order.","Keep Part 0 as a named main-text foundation. Add a 2-4 page fast-route/prerequisite map and return pointers; relocate only demonstrably optional excursions, within the same master, after a label and semantic-dependency audit.","high"
"Chapter 1","review_evidence_balance","2","2","확정","확정","AFFIRM","PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:92-142,165-188,220-229; ch1_sec04_hys.tex:31-115; ch1_sec07_broadening.tex:231-286","The chapter contains citations and local caveats, but Phase 004 confirms unsupported, partial, contradictory, and unretrieved claim-source relations. Review balance is therefore weak even though the mathematical exposition is extensive.","Place only Phase 004-bounded taxonomy and mechanism evidence at the first reduced-model claim; distinguish measured graphite behavior, general theory, project phenomenology, and unresolved mechanisms.","high"
"Chapter 1","notation_consistency","3","3","확정","확정","AFFIRM","ch1_sec01_n0n1.tex:1-257; ch1_sec18_inputs.tex:26-68; ch1_graphite_v1.0.23.tex:7-8,47-54; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:62-75","The master table and repeated sign guards give usable control, but derivation sign, direction sign, time basis, and LCO navigation remain cognitively or semantically mixed. The existing score stands.","Retain all established symbol names. Add compact local dependency legends, state the hour-to-second conversion at the lag interface, and move LCO-only workflow rows to Chapter 2 without renaming labels or symbols.","high"
"Chapter 1","derivation_transparency","3","4","확정","확정","MODIFY","ch1_sec02a_part0.tex:6-18; ch1_sec02b_part0.tex:282-335; ch1_sec05_width.tex:63-115,280-415; phase004_model_dependency_graph.md:78-87","The derivations expose premises, intermediate algebra, limits, and status distinctions more strongly than Terra's score recognizes. Their remaining defect is uneven labeling of exact identity, equilibrium relation, reduction, phenomenology, and numerical device, not missing derivation.","Keep the derivations in place and prepend a consistent claim-class/status line to each load-bearing reduction, especially regular-solution hysteresis, fitted two-phase width, lag, and self-consistency.","high"
"Chapter 1","example_quality","2","3","미검증","미검증","MODIFY","ch1_sec10_sum.tex:125-163; ch2_sec08_synthesis.tex:41-108; ch2_sec09_method.tex:52-61; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:230-233","The one-point curve and thermal examples are reproducible pedagogical demonstrations with units and declared inputs, so a score of 2 is too low. They remain unverified as representative experimental validation.","Keep the demonstrations and label them explicitly as demonstrations. Add separate provenance-complete validation examples with material, protocol, normalization basis, fitting rule, uncertainty, and residuals when data become available.","high"
"Chapter 1","validity_and_uq","1","2","근거 미발견","확정","MODIFY","ch1_sec07_broadening.tex:151-286; ch2_sec06_limits.tex:1-53; ch2_sec09_method.tex:52-61; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:62-75,230-233","Numerous local scope and limit statements show real validity discipline, so the dimension is not nearly absent. The chapter still lacks an integrated operating domain, uncertainty propagation, parameter intervals, and model-discrepancy treatment.","Add a chapter-level validity/UQ section after inverse analysis and before reproducibility; include rate, temperature, phase regime, measurement processing, time-unit, omitted transport, parameter uncertainty, and model discrepancy.","high"
"Chapter 1","identifiability","1","1","근거 미발견","근거 미발견","AFFIRM","ch1_sec18_inputs.tex:5-14; ch2_sec09_method.tex:9-29; phase004_model_dependency_graph.md:36-38,68-75; phase004_additional_literature_source_matrix.csv:29,51","The text exposes many adjustable quantities and a fitting sequence but supplies no structural or practical identifiability result. A fit recipe is not evidence that overlapping transition parameters are uniquely recoverable.","Add a dedicated inverse section with parameter groups, data-to-parameter sensitivity, correlations, profile likelihood or equivalent diagnostics, non-uniqueness examples, and minimum multi-rate/multi-temperature data requirements.","high"
"Chapter 1","three_chapter_coherence","2","3","확정","확정","MODIFY","ch1_graphite_v1.0.23.tex:21-56; ch1_sec00_intro.tex:22-28; 2026-07-17-v1022-master-plan.md:8-15,34-45; ch1_sec18_inputs.tex:55-68","The Part 0 to Part I to Part T spine and forward material split are explicit, so coherence is better than 2. Reciprocal Chapter 1/2 references, LCO workflow rows, and two code appendices still blur the volume boundary.","Declare Chapter 1 the volume foundation plus graphite application, move LCO-only fitting/interface rows to Chapter 2, and add a concise transition stating exactly what Chapters 2 and 3 inherit and what they must re-establish locally.","high"
"Chapter 1","code_separation","3","4","확정","확정","MODIFY","ch1_graphite_v1.0.23.tex:47-54; ch1_appB_codemap.tex:4-16; ch2_appB_codemap.tex:8-17; ch1_sec18_inputs.tex:26-31; 2026-07-16-v1020-master-plan.md:27-29,46-53","Executable identifiers and regression detail are predominantly confined to appendices, satisfying the declared doc-leads register. Non-rendered asset comments are provenance, not a reader-facing code leak.","Retain code maps as appendices and reduce the closing body to one reproducibility pointer. Do not delete audit/asset comments merely for structural appearance; remove only publication-visible implementation prose if separately authorized.","high"
"Chapter 1","fitting_usability","3","3","추정","추정","AFFIRM","ch1_sec18_inputs.tex:5-24; ch2_sec09_method.tex:9-29,52-61; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:230-233","A user can reconstruct a forward curve and follow a multi-temperature method, but cannot perform a defensible inverse fit from the chapter alone because objective, conditioning, bounds, diagnostics, and UQ are absent.","Preserve the six-step forward recipe and add preprocessing, objective and weighting, initialization, constraints, identifiability gate, residual diagnostics, uncertainty reporting, and failure/escalation criteria.","high"
