"path","bytes","sha256","extension","media_class","line_count","pdf_pages","initial_disposition","disposition_reason","assigned_worker","read_status","metadata_error"
".gitignore","462","cd0bf72d4c8a819ef2d11c2493389fb4604e31d76b9e55da7fbf0b6773b659f4",".gitignore","TEXT","39","","OUT_OF_SCOPE_WITH_REASON","Git metadata/config outside scientific audit","MAIN","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
".serena/.gitignore","26","21d5dcb497df8b257d94919bdadcfe75b75d085d0f7b77ac2d8a813a9ca6e758",".gitignore","TEXT","2","","OUT_OF_SCOPE_WITH_REASON","Editor/runtime metadata","MAIN","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
".serena/project.yml","7528","da4682ce95046990ca6a84a41cf65cf3caf6477bf84898cefadb272ef28fe55e",".yml","TEXT","133","","OUT_OF_SCOPE_WITH_REASON","Editor/runtime metadata","MAIN","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"CLAUDE.md","6719","5fd50f324189bb077898ea2da12559e90267ede63cb41a31afe073a1925ade08",".md","TEXT","87","","REQUIRED_FULL_REVIEW","Repository context and operating index","MAIN","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"Claude/docs/Fable_점검/FABLE_AUDIT_01_history_v3-v1011.md","10835","4bd4e0f6765386140a5df3e4fe8d2dcdb2eb5522a0654c7eabe441b1936120ff",".md","TEXT","72","","REQUIRED_FULL_REVIEW","Version-local final document, code, test, result, or asset","H_latest_and_shared","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"Claude/docs/Fable_점검/FABLE_AUDIT_02_ch1ch2_content.md","6035","267243a3a2d7417f16a6fdd8c17c22243c423ec6cb78ae45ed87baeb17deeeda",".md","TEXT","41","","REQUIRED_FULL_REVIEW","Version-local final document, code, test, result, or asset","H_latest_and_shared","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"Claude/docs/Fable_점검/FABLE_AUDIT_03_code_fitness.md","2656","a004e8cdfdc95bb04a4bd6f06c7c552564bd3e555d286cb0e92d90a005ee4625",".md","TEXT","24","","REQUIRED_FULL_REVIEW","Version-local final document, code, test, result, or asset","H_latest_and_shared","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"Claude/docs/Fable_점검/FABLE_AUDIT_note_A1_v3-v5.md","31063","130533533c846a228961d95794cdcfc005da18a1aa2397f6c8f8d138feb27673",".md","TEXT","188","","REQUIRED_FULL_REVIEW","Version-local final document, code, test, result, or asset","H_latest_and_shared","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"Claude/docs/Fable_점검/FABLE_AUDIT_note_A2_v5-v7.md","25227","0a22e782a1b9fca89ee7d097a806692e2584f3d6637b5a5ea1a521226c7a9337",".md","TEXT","142","","REQUIRED_FULL_REVIEW","Version-local final document, code, test, result, or asset","H_latest_and_shared","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
"Claude/docs/Fable_점검/FABLE_AUDIT_note_A3_v7-v9.md","22158","aa341edbcc3cf89aeb50beda850817c90f625fb78859e0bbcb600574a9cee896",".md","TEXT","159","","REQUIRED_FULL_REVIEW","Version-local final document, code, test, result, or asset","H_latest_and_shared","MACHINE_INVENTORIED_NOT_SEMANTICALLY_READ",""
